,hotel_name,reviews,label,reviews_fixed,tokenized_reviews,stop_words_removed,stop_words_removed_lemmatized,stop_words_removed_stemmed
21,berlin-hotel-190599-review-4.json_2,"This hotel is located in a very quiet district - barely a passing car on a weekday, completely dead at the weekendand with no local facilities.",0,This hotel is located in very quiet district barely passing car on weekday completely dead at the weekendand with no local facilities,"['this', 'hotel', 'is', 'located', 'in', 'very', 'quiet', 'district', 'barely', 'passing', 'car', 'on', 'weekday', 'completely', 'dead', 'at', 'the', 'weekendand', 'with', 'no', 'local', 'facilities']","['hotel', 'located', 'quiet', 'district', 'barely', 'passing', 'car', 'weekday', 'completely', 'dead', 'weekendand', 'local', 'facilities']","['hotel', 'locate', 'quiet', 'district', 'barely', 'pass', 'car', 'weekday', 'completely', 'dead', 'weekendand', 'local', 'facility']","['hotel', 'locat', 'quiet', 'district', 'bare', 'pass', 'car', 'weekday', 'complet', 'dead', 'weekendand', 'local', 'facil']"
22,berlin-hotel-190599-review-4.json_3,The one bar round the corner had one old pensioner propping the bar up on a Friday evening.,0,The one bar round the corner had one old pensioner propping the bar up on Friday evening,"['the', 'one', 'bar', 'round', 'the', 'corner', 'had', 'one', 'old', 'pensioner', 'propping', 'the', 'bar', 'up', 'on', 'friday', 'evening']","['one', 'bar', 'round', 'corner', 'one', 'old', 'pensioner', 'propping', 'bar', 'friday', 'evening']","['one', 'bar', 'round', 'corner', 'one', 'old', 'pensioner', 'prop', 'bar', 'friday', 'even']","['one', 'bar', 'round', 'corner', 'one', 'old', 'pension', 'prop', 'bar', 'friday', 'even']"
23,berlin-hotel-190599-review-4.json_4,The hotel itself is already showing signs of age.,0,The hotel itself is already showing signs of age,"['the', 'hotel', 'itself', 'is', 'already', 'showing', 'signs', 'of', 'age']","['hotel', 'already', 'showing', 'signs', 'age']","['hotel', 'already', 'show', 'sign', 'age']","['hotel', 'alreadi', 'show', 'sign', 'age']"
24,berlin-hotel-190599-review-4.json_5,"The fixtures and fittings in the room were tired and worn; edges of shelves worn away, carpets badly stained, window blinds torn and damaged.",0,The fixtures and fittings in the room we are tired and worn edges of shelves worn away carpets badly stained window blinds torn and damaged,"['the', 'fixtures', 'and', 'fittings', 'in', 'the', 'room', 'we', 'are', 'tired', 'and', 'worn', 'edges', 'of', 'shelves', 'worn', 'away', 'carpets', 'badly', 'stained', 'window', 'blinds', 'torn', 'and', 'damaged']","['fixtures', 'fittings', 'room', 'tired', 'worn', 'edges', 'shelves', 'worn', 'away', 'carpets', 'badly', 'stained', 'window', 'blinds', 'torn', 'damaged']","['fixture', 'fitting', 'room', 'tire', 'worn', 'edge', 'shelf', 'wear', 'away', 'carpet', 'badly', 'stain', 'window', 'blind', 'tear', 'damage']","['fixtur', 'fit', 'room', 'tire', 'worn', 'edg', 'shelv', 'worn', 'away', 'carpet', 'badli', 'stain', 'window', 'blind', 'torn', 'damag']"
25,berlin-hotel-190599-review-4.json_6,"The room was very much smaller than in the sister hotel,",0,The room was very much smaller than in the sister hotel,"['the', 'room', 'was', 'very', 'much', 'smaller', 'than', 'in', 'the', 'sister', 'hotel']","['room', 'much', 'smaller', 'sister', 'hotel']","['room', 'much', 'small', 'sister', 'hotel']","['room', 'much', 'smaller', 'sister', 'hotel']"
26,berlin-hotel-190599-review-4.json_7,though the bed was amply sized as in all German hotels.,0,though the bed was amply sized as in all German hotels,"['though', 'the', 'bed', 'was', 'amply', 'sized', 'as', 'in', 'all', 'german', 'hotels']","['though', 'bed', 'amply', 'sized', 'german', 'hotels']","['though', 'bed', 'amply', 'sized', 'german', 'hotel']","['though', 'bed', 'ampli', 'size', 'german', 'hotel']"
27,berlin-hotel-190599-review-4.json_8,Only one almost useless pillow per person though (think no thicker than a cracker) and no availability of additional bed linen as most other hotels would normally provide.,0,Only one almost useless pillow per person though think no thicker than cracker and no availability of additional bed linen as most other hotels would normally provide,"['only', 'one', 'almost', 'useless', 'pillow', 'per', 'person', 'though', 'think', 'no', 'thicker', 'than', 'cracker', 'and', 'no', 'availability', 'of', 'additional', 'bed', 'linen', 'as', 'most', 'other', 'hotels', 'would', 'normally', 'provide']","['one', 'almost', 'useless', 'pillow', 'per', 'person', 'though', 'think', 'thicker', 'cracker', 'availability', 'additional', 'bed', 'linen', 'hotels', 'would', 'normally', 'provide']","['one', 'almost', 'useless', 'pillow', 'per', 'person', 'though', 'think', 'thicker', 'cracker', 'availability', 'additional', 'bed', 'linen', 'hotel', 'would', 'normally', 'provide']","['one', 'almost', 'useless', 'pillow', 'per', 'person', 'though', 'think', 'thicker', 'cracker', 'avail', 'addit', 'bed', 'linen', 'hotel', 'would', 'normal', 'provid']"
28,berlin-hotel-190599-review-4.json_9,The room was effectively air conditioned (i.e. you could control temperature and speed yourself),0,The room was effectively air conditioned you could control temperature and speed yourself,"['the', 'room', 'was', 'effectively', 'air', 'conditioned', 'you', 'could', 'control', 'temperature', 'and', 'speed', 'yourself']","['room', 'effectively', 'air', 'conditioned', 'could', 'control', 'temperature', 'speed']","['room', 'effectively', 'air', 'condition', 'could', 'control', 'temperature', 'speed']","['room', 'effect', 'air', 'condit', 'could', 'control', 'temperatur', 'speed']"
29,berlin-hotel-190599-review-4.json_10,"and this is essential as the hotel's proximity to a very still tributary to the Spree means that the area is plagued by large, voracious mosquitoes.",0,and this is essential as the hotel proximity to very still tributary to the Spree means that the area is plagued by large voracious mosquitoes,"['and', 'this', 'is', 'essential', 'as', 'the', 'hotel', 'proximity', 'to', 'very', 'still', 'tributary', 'to', 'the', 'spree', 'means', 'that', 'the', 'area', 'is', 'plagued', 'by', 'large', 'voracious', 'mosquitoes']","['essential', 'hotel', 'proximity', 'still', 'tributary', 'spree', 'means', 'area', 'plagued', 'large', 'voracious', 'mosquitoes']","['essential', 'hotel', 'proximity', 'still', 'tributary', 'spree', 'mean', 'area', 'plague', 'large', 'voracious', 'mosquito']","['essenti', 'hotel', 'proxim', 'still', 'tributari', 'spree', 'mean', 'area', 'plagu', 'larg', 'voraci', 'mosquito']"
30,berlin-hotel-190599-review-4.json_11,Leaving your bedroom window open is not an option as my heavily bitten body will testify!,0,Leaving your bedroom window open is not an option as my heavily bitten body will testify,"['leaving', 'your', 'bedroom', 'window', 'open', 'is', 'not', 'an', 'option', 'as', 'my', 'heavily', 'bitten', 'body', 'will', 'testify']","['leaving', 'bedroom', 'window', 'open', 'option', 'heavily', 'bitten', 'body', 'testify']","['leave', 'bedroom', 'window', 'open', 'option', 'heavily', 'bite', 'body', 'testify']","['leav', 'bedroom', 'window', 'open', 'option', 'heavili', 'bitten', 'bodi', 'testifi']"
31,berlin-hotel-190599-review-4.json_12,During my stay I needed to use the internet in order to check-in for our return flight.,0,During my stay needed to use the internet in order to check in for our return flight,"['during', 'my', 'stay', 'needed', 'to', 'use', 'the', 'internet', 'in', 'order', 'to', 'check', 'in', 'for', 'our', 'return', 'flight']","['stay', 'needed', 'use', 'internet', 'order', 'check', 'return', 'flight']","['stay', 'need', 'use', 'internet', 'order', 'check', 'return', 'flight']","['stay', 'need', 'use', 'internet', 'order', 'check', 'return', 'flight']"
32,berlin-hotel-190599-review-4.json_13,The cost of using the solitary PC in the lobby was extortionate.,0,The cost of using the solitary personal computer in the lobby was extortionate,"['the', 'cost', 'of', 'using', 'the', 'solitary', 'personal', 'computer', 'in', 'the', 'lobby', 'was', 'extortionate']","['cost', 'using', 'solitary', 'personal', 'computer', 'lobby', 'extortionate']","['cost', 'use', 'solitary', 'personal', 'computer', 'lobby', 'extortionate']","['cost', 'use', 'solitari', 'person', 'comput', 'lobbi', 'extortion']"
33,berlin-hotel-190599-review-4.json_14,"Given the low cost of internet access and PC hardware, all decent hotels now offer such 'business centre' services for free - here,",0,Given the low cost of internet access and personal computer hardware all decent hotels now offer such business centre services for free here,"['given', 'the', 'low', 'cost', 'of', 'internet', 'access', 'and', 'personal', 'computer', 'hardware', 'all', 'decent', 'hotels', 'now', 'offer', 'such', 'business', 'centre', 'services', 'for', 'free', 'here']","['given', 'low', 'cost', 'internet', 'access', 'personal', 'computer', 'hardware', 'decent', 'hotels', 'offer', 'business', 'centre', 'services', 'free']","['give', 'low', 'cost', 'internet', 'access', 'personal', 'computer', 'hardware', 'decent', 'hotel', 'offer', 'business', 'centre', 'service', 'free']","['given', 'low', 'cost', 'internet', 'access', 'person', 'comput', 'hardwar', 'decent', 'hotel', 'offer', 'busi', 'centr', 'servic', 'free']"
34,berlin-hotel-190599-review-4.json_15,it was a credit card driven system charging 1Euro for 3 minutes online time and extra for every printed page.,0,it was credit card driven system charging 1 Euro for minutes online time and extra for every printed page,"['it', 'was', 'credit', 'card', 'driven', 'system', 'charging', '1', 'euro', 'for', 'minutes', 'online', 'time', 'and', 'extra', 'for', 'every', 'printed', 'page']","['credit', 'card', 'driven', 'system', 'charging', '1', 'euro', 'minutes', 'online', 'time', 'extra', 'every', 'printed', 'page']","['credit', 'card', 'driven', 'system', 'charge', '1', 'euro', 'minute', 'online', 'time', 'extra', 'every', 'printed', 'page']","['credit', 'card', 'driven', 'system', 'charg', '1', 'euro', 'minut', 'onlin', 'time', 'extra', 'everi', 'print', 'page']"
35,berlin-hotel-190599-review-4.json_16,"As a general tip, if you need to use the internet whilst in Berlin, look up the Easy Internet cafes before you go, there's a huge one in Kurfurstendam",1,As general tip if you need to use the internet whilst in Berlin look up the Easy Internet cafes before you go there is huge one in Kurfurstendam,"['as', 'general', 'tip', 'if', 'you', 'need', 'to', 'use', 'the', 'internet', 'whilst', 'in', 'berlin', 'look', 'up', 'the', 'easy', 'internet', 'cafes', 'before', 'you', 'go', 'there', 'is', 'huge', 'one', 'in', 'kurfurstendam']","['general', 'tip', 'need', 'use', 'internet', 'whilst', 'berlin', 'look', 'easy', 'internet', 'cafes', 'go', 'huge', 'one', 'kurfurstendam']","['general', 'tip', 'need', 'use', 'internet', 'whilst', 'berlin', 'look', 'easy', 'internet', 'cafe', 'go', 'huge', 'one', 'kurfurstendam']","['gener', 'tip', 'need', 'use', 'internet', 'whilst', 'berlin', 'look', 'easi', 'internet', 'cafe', 'go', 'huge', 'one', 'kurfurstendam']"
36,berlin-hotel-190599-review-4.json_17,and at least one more I saw elsewhere - there access costs 1 Euro for an hour!,0,and at least one more saw elsewhere there access costs Euro for an hour,"['and', 'at', 'least', 'one', 'more', 'saw', 'elsewhere', 'there', 'access', 'costs', 'euro', 'for', 'an', 'hour']","['least', 'one', 'saw', 'elsewhere', 'access', 'costs', 'euro', 'hour']","['least', 'one', 'saw', 'elsewhere', 'access', 'cost', 'euro', 'hour']","['least', 'one', 'saw', 'elsewher', 'access', 'cost', 'euro', 'hour']"
37,berlin-hotel-190599-review-4.json_18,"Overall, the stay at Berlin Mitte was not what I expected from a hotel chain which calls its most basic room 'Superior'.",0,Overall the stay at Berlin Mitte was not what expected from hotel chain which calls it is most basic room Superior,"['overall', 'the', 'stay', 'at', 'berlin', 'mitte', 'was', 'not', 'what', 'expected', 'from', 'hotel', 'chain', 'which', 'calls', 'it', 'is', 'most', 'basic', 'room', 'superior']","['overall', 'stay', 'berlin', 'mitte', 'expected', 'hotel', 'chain', 'calls', 'basic', 'room', 'superior']","['overall', 'stay', 'berlin', 'mitte', 'expect', 'hotel', 'chain', 'call', 'basic', 'room', 'superior']","['overal', 'stay', 'berlin', 'mitt', 'expect', 'hotel', 'chain', 'call', 'basic', 'room', 'superior']"
38,berlin-hotel-190599-review-4.json_19,It needs to decide whether it wants to be 'designer' or just a smart hostel.,0,It needs to decide whether it wants to be designer or just smart hostel,"['it', 'needs', 'to', 'decide', 'whether', 'it', 'wants', 'to', 'be', 'designer', 'or', 'just', 'smart', 'hostel']","['needs', 'decide', 'whether', 'wants', 'designer', 'smart', 'hostel']","['need', 'decide', 'whether', 'want', 'designer', 'smart', 'hostel']","['need', 'decid', 'whether', 'want', 'design', 'smart', 'hostel']"
39,berlin-hotel-190599-review-4.json_20,"For UK travellers, the room was the same size",0,For UK travellers the room was the same size,"['for', 'uk', 'travellers', 'the', 'room', 'was', 'the', 'same', 'size']","['uk', 'travellers', 'room', 'size']","['uk', 'traveller', 'room', 'size']","['uk', 'travel', 'room', 'size']"
40,berlin-hotel-190599-review-4.json_21,and in the same condition as you'd find in a Travelodge.,0,and in the same condition as you would find in Travelodge,"['and', 'in', 'the', 'same', 'condition', 'as', 'you', 'would', 'find', 'in', 'travelodge']","['condition', 'would', 'find', 'travelodge']","['condition', 'would', 'find', 'travelodge']","['condit', 'would', 'find', 'travelodg']"
41,berlin-hotel-190599-review-4.json_22,"If you expect no more than that, you won't be disappointed.",1,If you expect no more than that you will not be disappointed,"['if', 'you', 'expect', 'no', 'more', 'than', 'that', 'you', 'will', 'not', 'be', 'disappointed']","['expect', 'disappointed']","['expect', 'disappointed']","['expect', 'disappoint']"
42,berlin-hotel-190599-review-4.json_23,"Also, if you're the kind of person who likes to step out of their hotel and straight into the action,",0,Also if you are the kind of person who likes to step out of their hotel and straight into the action,"['also', 'if', 'you', 'are', 'the', 'kind', 'of', 'person', 'who', 'likes', 'to', 'step', 'out', 'of', 'their', 'hotel', 'and', 'straight', 'into', 'the', 'action']","['also', 'kind', 'person', 'likes', 'step', 'hotel', 'straight', 'action']","['also', 'kind', 'person', 'likes', 'step', 'hotel', 'straight', 'action']","['also', 'kind', 'person', 'like', 'step', 'hotel', 'straight', 'action']"
43,berlin-hotel-190599-review-4.json_24,this won't ring your bell as all destinations will require at least a half hour walk or public transport journey.,0,this will not ring your bell as all destinations will require at least half hour walk or public transport journey,"['this', 'will', 'not', 'ring', 'your', 'bell', 'as', 'all', 'destinations', 'will', 'require', 'at', 'least', 'half', 'hour', 'walk', 'or', 'public', 'transport', 'journey']","['ring', 'bell', 'destinations', 'require', 'least', 'half', 'hour', 'walk', 'public', 'transport', 'journey']","['ring', 'bell', 'destination', 'require', 'least', 'half', 'hour', 'walk', 'public', 'transport', 'journey']","['ring', 'bell', 'destin', 'requir', 'least', 'half', 'hour', 'walk', 'public', 'transport', 'journey']"
44,berlin-hotel-190599-review-5.json_0,"Rooms nices, Staff helpful.",0,Rooms nices Staff helpful,"['rooms', 'nices', 'staff', 'helpful']","['rooms', 'nices', 'staff', 'helpful']","['room', 'nice', 'staff', 'helpful']","['room', 'nice', 'staff', 'help']"
45,berlin-hotel-190599-review-5.json_1,"Beds firm, pillows very soft.",0,Beds firm pillows very soft,"['beds', 'firm', 'pillows', 'very', 'soft']","['beds', 'firm', 'pillows', 'soft']","['bed', 'firm', 'pillow', 'soft']","['bed', 'firm', 'pillow', 'soft']"
46,berlin-hotel-190599-review-5.json_2,"No shampoo provided in the room, Shower Gel dispensers don't work well.",0,No shampoo provided in the room Shower Gel dispensers do not work well,"['no', 'shampoo', 'provided', 'in', 'the', 'room', 'shower', 'gel', 'dispensers', 'do', 'not', 'work', 'well']","['shampoo', 'provided', 'room', 'shower', 'gel', 'dispensers', 'work', 'well']","['shampoo', 'provide', 'room', 'shower', 'gel', 'dispenser', 'work', 'well']","['shampoo', 'provid', 'room', 'shower', 'gel', 'dispens', 'work', 'well']"
47,berlin-hotel-190599-review-5.json_3,"Breakfast expensive, supermarket not far, Good value Internet cafe nearby.",0,Breakfast expensive supermarket not far Good value Internet cafe nearby,"['breakfast', 'expensive', 'supermarket', 'not', 'far', 'good', 'value', 'internet', 'cafe', 'nearby']","['breakfast', 'expensive', 'supermarket', 'far', 'good', 'value', 'internet', 'cafe', 'nearby']","['breakfast', 'expensive', 'supermarket', 'far', 'good', 'value', 'internet', 'cafe', 'nearby']","['breakfast', 'expens', 'supermarket', 'far', 'good', 'valu', 'internet', 'cafe', 'nearbi']"
48,berlin-hotel-190599-review-5.json_4,Close to museum island and U-ban just outside hotel.,0,Close to museum island and ban just outside hotel,"['close', 'to', 'museum', 'island', 'and', 'ban', 'just', 'outside', 'hotel']","['close', 'museum', 'island', 'ban', 'outside', 'hotel']","['close', 'museum', 'island', 'ban', 'outside', 'hotel']","['close', 'museum', 'island', 'ban', 'outsid', 'hotel']"
