,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Cleaned Data
10,10,[7],0.9491000175476074,"would, recommend, hotel, room, stay, need, view, like, make, nice","With the highest breakfast prices we've ever seen, it would have been nice to have in-room beverage stations/coffee makers like one usually finds in Westins.",high breakfast price ever see would nice room beverage station coffee maker like one usually find westins
11,11,[6],0.8690000176429749,"hotel, look, place, would, room, upgrade, recommend, street, good, really","If you're looking for that famous Berlin nightlife, look elsewhere.",look famous berlin nightlife look elsewhere
12,12,[11],0.8690000176429749,"room, get, one, take, tip, hotel, use, good, could, drink",Avoid these rooms - it is very clear why they do not have a photograph of them on their web site.,avoid room clear photograph web site
13,13,[7],0.8690000176429749,"would, recommend, hotel, room, stay, need, view, like, make, nice",Even with these benefits I would not recommend staying in this hotel.,even benefit would recommend stay hotel
14,14,[6],0.8981000185012817,"hotel, look, place, would, room, upgrade, recommend, street, good, really",Rooms needed upgrading badly (and our view was of the roof!) and a good clean!,room need upgrade badly view roof good clean
15,15,[0],0.8981000185012817,"time, room, check, stay, metro, anything, less, go, good, arrive","If you have the chance, go for the brand new Radisson, Hyatt, Marriott or Adlon.",chance go brand new radisson hyatt marriott adlon
16,16,[4],0.934499979019165,"stay, room, hotel, would, get, recommend, want, need, go, one","If you get a great rate per night, like I did using a voucher system, is OK, but otherwise stay elsewhere.",get great rate per night like use voucher system ok otherwise stay elsewhere
17,17,[4],0.8471999764442444,"stay, room, hotel, would, get, recommend, want, need, go, one",Dont go for the pictures on the starwood internet site.,go picture starwood internet site
18,18,[7],0.8853999972343445,"would, recommend, hotel, room, stay, need, view, like, make, nice",My take on it is that the sewer system put in by the GDR needs to be replaced.,take sewer system put gdr need replace
19,19,[4],0.934499979019165,"stay, room, hotel, would, get, recommend, want, need, go, one","Bottom line: pick another hotel, the Starwood Group has a white elephant on their hands with this smelly grand hotel.",bottom line pick another hotel starwood group white elephant hand smelly grand hotel
20,20,[7],0.770799994468689,"would, recommend, hotel, room, stay, need, view, like, make, nice",so I really highly recommend.,really highly recommend
21,21,[4],0.934499979019165,"stay, room, hotel, would, get, recommend, want, need, go, one",Hilton - stay on executive floor (great lounge) get a room overlooking the Gendarmenmarkt (beautiful day and night).,hilton stay executive floor great lounge get room overlook gendarmenmarkt beautiful day night
22,22,[6],0.8981000185012817,"hotel, look, place, would, room, upgrade, recommend, street, good, really","Anyone looking for something a little bit special should look elsewhere,",anyone look something little bit special look elsewhere
23,23,[0],0.8471999764442444,"time, room, check, stay, metro, anything, less, go, good, arrive",You may be well advised to try another address...,may advise try another address
24,24,[11],0.934499979019165,"room, get, one, take, tip, hotel, use, good, could, drink","Another comfortable chair in the room, there's one, would be a plus We only ate one breakfast here because we slept in, but its a bit expensive.",another comfortable chair room one would plus eat one breakfast slept bit expensive
25,25,[3],0.90829998254776,"good, hotel, would, walk, free, take, minute, recommend, berlin, make",but most bathrooms are in urgent need of remodelling (the existing ones are dating back to the 60s!).,bathroom urgent need remodelling exist one date back 60
26,26,[8],0.770799994468689,"hotel, room, avoid, need, view, park, walk, wonderful, area, rambla",it is better to avoid the bar.,well avoid bar
27,27,[1],0.8853999972343445,"place, hotel, want, stay, highly, recommend, please, call, restaurant, book",They do serve drinks upon request in the lobby and you better ask them to do so.,serve drink upon request lobby well ask
28,28,[4],0.90829998254776,"stay, room, hotel, would, get, recommend, want, need, go, one",but a bit pricey 19euros since you can have a decent breakfest in any Kaffee in Berlin.,bit pricey 19 euro since decent breakfest kaffee berlin
29,29,[6],0.770799994468689,"hotel, look, place, would, room, upgrade, recommend, street, good, really",I do recommand Kaffee Einstein.,recommand kaffee einstein
30,30,[8],0.770799994468689,"hotel, room, avoid, need, view, park, walk, wonderful, area, rambla","If you're a non-smoker, don't stay here!",non smoker stay
31,31,[4],0.6944000124931335,"stay, room, hotel, would, get, recommend, want, need, go, one",The rooms need a re-do.,room need
32,32,[7],0.8471999764442444,"would, recommend, hotel, room, stay, need, view, like, make, nice",You must use these or risk breaking your leg.,must use risk break leg
33,33,[2],0.8690000176429749,"go, breakfast, want, think, look, block, get, recommend, around, best",YOu do have to shop around on the newt to get best deal.,shop around newt get best deal
34,34,[10],0.8853999972343445,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night",Definitely avoid travelling by Easyjet at weekend late evenings!,definitely avoid travel easyjet weekend late evening
35,35,[4],0.9236000180244446,"stay, room, hotel, would, get, recommend, want, need, go, one",One more thing- if you want to visit the Bundestag it is a good idea to book a tour (in english) in advance.,one thing want visit bundestag good idea book tour english advance
36,36,[4],0.8690000176429749,"stay, room, hotel, would, get, recommend, want, need, go, one",Stayed here for a conference and would not advise it for people with other options.,stay conference would advise people option
37,37,[10],0.9236000180244446,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night","The location is okay for but for better restaurants and sight-seeing, stay closer to Postdamer Platz or Mitte.",location okay well restaurant sight see stay closer postdamer platz mitte
38,38,[9],0.8471999764442444,"room, stay, go, hotel, look, leave, price, service, expect, place",If you go to this hotel don`t book a standard room.,go hotel book standard room
39,39,[8],0.8166999816894531,"hotel, room, avoid, need, view, park, walk, wonderful, area, rambla",but the bathroom was tired and in need of refurbishment.,bathroom tire need refurbishment
40,40,[7],0.770799994468689,"would, recommend, hotel, room, stay, need, view, like, make, nice",I would not recommend this hotel.,would recommend hotel
41,41,[3],0.934499979019165,"good, hotel, would, walk, free, take, minute, recommend, berlin, make","Whilst the room was indeed large, clean and functional it lacked the finishing touches that one expects from 5-star accommodation.",whilst room indeed large clean functional lack finishing touch one expect star accommodation
42,42,[10],0.9427000284194946,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night","The Restaurants in the hotel are okay, though if not eating in the hotel I would advise you to look further a field as the restaurants/caf�__�_��_s close by are not particularly good.",restaurant hotel okay though eating hotel would advise look field restaurant caf close particularly good
43,43,[3],0.9617999792098999,"good, hotel, would, walk, free, take, minute, recommend, berlin, make","For those looking for things to do whilst in Berlin, I would highly recommend the walking tours offered by Original Berlin Walks (Discover Berlin) and Sandemans New Berlin (Red Berlin Tour and the Free Tour).",look thing whilst berlin would highly recommend walking tour offer original berlin walk discover berlin sandemans new berlin red berlin tour free tour
44,44,[7],0.770799994468689,"would, recommend, hotel, room, stay, need, view, like, make, nice","I would not recommend staying here,",would recommend stay
45,45,[11],0.8853999972343445,"room, get, one, take, tip, hotel, use, good, could, drink",The room - on the executive floor - could have used a good dusting.,room executive floor could use good dusting
46,46,[0],0.8981000185012817,"time, room, check, stay, metro, anything, less, go, good, arrive",Be sure to pick up an umbrella (for free) at the concierge if you anticipate rain while sightseeing.,sure pick umbrella free concierge anticipate rain sightseeing
47,47,[2],0.8166999816894531,"go, breakfast, want, think, look, block, get, recommend, around, best",you can go buy your own water and snacks.,go buy water snack
48,48,[10],0.9460999965667725,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night","you might want to bring ear plugs to protect you from your neighbor's late-night television, discussions, etc. I stayed there for business and then a few days being a tourist.",might want bring ear plug protect neighbor late night television discussion etc stayed business day tourist
49,49,[10],0.9236000180244446,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night","The only warning I have to offer is if you want to sleep past 8 AM, make sure you hang the do not disturb sign on your door.",warn offer want sleep past make sure hang disturb sign door
50,50,[7],0.8166999816894531,"would, recommend, hotel, room, stay, need, view, like, make, nice",This makes me not want to recommend this hotel.,make want recommend hotel
51,51,[7],0.8853999972343445,"would, recommend, hotel, room, stay, need, view, like, make, nice",I would strongly reccomend this hotel and would have no hesitation in staying there again.,would strongly reccomend hotel would hesitation stay
52,52,[8],0.770799994468689,"hotel, room, avoid, need, view, park, walk, wonderful, area, rambla",but eventually need renovating.,eventually need renovate
53,53,[1],0.8690000176429749,"place, hotel, want, stay, highly, recommend, please, call, restaurant, book",Please read this before before booking your break away in this hotel.,please read book break away hotel
54,54,[9],0.90829998254776,"room, stay, go, hotel, look, leave, price, service, expect, place","So, if you are not looking for service, unfriendly staff, basic facilities then I recommend you book this place!",look service unfriendly staff basic facility recommend book place
55,55,[1],0.934499979019165,"place, hotel, want, stay, highly, recommend, please, call, restaurant, book","Please do not be fooled by the pictures on the internet - If you book this hotel, please expect an 'Allocation on Arrival' service as you will have no idea where you will be placed.",please fool picture internet book hotel please expect allocation arrival service idea place
56,56,[8],0.8471999764442444,"hotel, room, avoid, need, view, park, walk, wonderful, area, rambla",The hotel is very tired and is in desperate need of a refurb.,hotel tire desperate need refurb
57,57,[10],0.9563000202178955,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night","When we booked the room the description on the website said it came with a separate seating area, despite raising the issue with reception we were basically told this was not so , I guess someone needs to amend the website.",booked room description website say come separate seating area despite raise issue reception basically tell guess someone need amend website
58,58,[10],0.8853999972343445,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night",Berlin is a top city and highly recommended for New Year!,berlin top city highly recommend new year
59,59,[11],0.9236000180244446,"room, get, one, take, tip, hotel, use, good, could, drink",Try out a trabi safari - it is great fun - especially in 3ft of snow in a car with no heating......................,try trabi safari great fun especially 3 ft snow car heating
60,60,[6],0.8471999764442444,"hotel, look, place, would, room, upgrade, recommend, street, good, really",but the whole place is in serious need of a refurbishment.,whole place serious need refurbishment
61,61,[2],0.8981000185012817,"go, breakfast, want, think, look, block, get, recommend, around, best",Beware of smoking areas for people having breakfast that are very close to non-smoking.,beware smoke area people breakfast close non smoke
62,62,[4],0.9617999792098999,"stay, room, hotel, would, get, recommend, want, need, go, one",If you do not expect any kind of service whatsoever then go ahead and book these hotels but be sure what you are getting as they also have a third old building across the street which is a little more convenient than having to drag luggage three long blocks,expect kind service whatsoever go ahead book hotel sure get also third old building across street little convenient drag luggage three long block
63,63,[9],0.8981000185012817,"room, stay, go, hotel, look, leave, price, service, expect, place",if you're looking for a high end hotel i suggest you go somewhere else.,look high end hotel suggest go somewhere else
64,64,[1],0.8853999972343445,"place, hotel, want, stay, highly, recommend, please, call, restaurant, book",Especially good for shopping on the Kurfustendamm...bring an extra bag!!,especially good shopping kurfustendamm bring extra bag
65,65,[3],0.8853999972343445,"good, hotel, would, walk, free, take, minute, recommend, berlin, make",I would not recommend the restaurant either the food in not good quality,would recommend restaurant either food good quality
66,66,[7],0.8853999972343445,"would, recommend, hotel, room, stay, need, view, like, make, nice",This hotel is badly in need of a manager who knows what is going on in the place.,hotel badly need manager know go place
67,67,[5],0.9745000004768372,"room, get, stay, go, tip, staff, good, book, check, like","Negatives: Bed (if you are used to Sofitel beds from around there world don't stay here), bedding (old polyester), house keeping (on both morning the room was not properly cleaned and coffee and toiletry supplies were not replenished; the room was also not very clean with huge stains on the curtains), in room equipment (if you love 70s retro you will love the TV in the room).",negative bed used sofitel bed around world stay bed old polyester house keep morning room properly clean coffee toiletry supply replenish room also clean huge stain curtain room equipment love 70 retro love tv room
68,68,[9],0.90829998254776,"room, stay, go, hotel, look, leave, price, service, expect, place","This hotel should not be allowed to call itself a Sofitel as the rooms are well below standard, the staff however are right up there.",hotel allow call sofitel room standard staff however right
69,69,[1],0.8853999972343445,"place, hotel, want, stay, highly, recommend, please, call, restaurant, book",you really want a room at the back of the hotel rather than at the front.,really want room back hotel rather front
70,70,[5],0.770799994468689,"room, get, stay, go, tip, staff, good, book, check, like",I do wish that the staff were more accomodating.,wish staff accomodating
71,71,[11],0.9388999938964844,"room, get, one, take, tip, hotel, use, good, could, drink",If you prefer an outside room ask for one on an upper floor facing towards Berlin Catherdral only some 100 yards away.,prefer outside room ask one upper floor facing towards berlin catherdral 100 yard away
72,72,[10],0.8690000176429749,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night",and they should send the staff on a training course in customer relations.,send staff training course customer relation
73,73,[4],0.9427000284194946,"stay, room, hotel, would, get, recommend, want, need, go, one",Try and find a web deal (I booked via Hotel[-]): during Summer rooms can be booked for as low as 59 euro (and that includes breakfast).,try find web deal book via hotel summer room book low 59 euro include breakfast
74,74,[2],0.9388999938964844,"go, breakfast, want, think, look, block, get, recommend, around, best",I would advise getting an inclusive deal or eating at one of the many local cafes which offered breakfast for a third of the price.,would advise get inclusive deal eat one many local cafe offer breakfast third price
75,75,[8],0.8166999816894531,"hotel, room, avoid, need, view, park, walk, wonderful, area, rambla",I most warn everybody to avoid this hotel.,warn everybody avoid hotel
76,76,[6],0.770799994468689,"hotel, look, place, would, room, upgrade, recommend, street, good, really",I really advice the hotel,really advice hotel
77,77,[11],0.8981000185012817,"room, get, one, take, tip, hotel, use, good, could, drink",but some of the staff behind reception need a few lessons in customer service (ie.,staff behind reception need lesson customer service ie
78,78,[6],0.8981000185012817,"hotel, look, place, would, room, upgrade, recommend, street, good, really",a smile or even some acknowledgment when handing in keys wouldn't go amiss).,smile even acknowledgment hand key would go amiss
79,79,[7],0.8690000176429749,"would, recommend, hotel, room, stay, need, view, like, make, nice",but for those on a budget and do not mind relinquishing some comforts then this hotel is fine.,budget mind relinquish comfort hotel fine
80,80,[7],0.8471999764442444,"would, recommend, hotel, room, stay, need, view, like, make, nice",I would NOT recommend this hotel to anyone I liked.,would recommend hotel anyone like
81,81,[1],0.8981000185012817,"place, hotel, want, stay, highly, recommend, please, call, restaurant, book",If you are STILL temped to stay at this place: TAKE VERY GOOD EAR PLUGS.,still temped stay place take good ear plug
82,82,[0],0.770799994468689,"time, room, check, stay, metro, anything, less, go, good, arrive",DON'T EXPECT ANYTHING AND YOU WON'T BE DISAPPOINTED!!!!,expect anything disappointed
83,83,[7],0.916700005531311,"would, recommend, hotel, room, stay, need, view, like, make, nice",and in my oppinion a hostel would be better than wasting your money on a somewhat dodgy three stars.,oppinion hostel would better waste money somewhat dodgy three star
84,84,[9],0.6944000124931335,"room, stay, go, hotel, look, leave, price, service, expect, place","If you are a espresso lover, well this is for you.",espresso lover
85,85,[4],0.8690000176429749,"stay, room, hotel, would, get, recommend, want, need, go, one",But given the price I would recommend this one unreservedly.,give price would recommend one unreservedly
86,86,[0],0.9236000180244446,"time, room, check, stay, metro, anything, less, go, good, arrive",The hotel should give a password out to guests that check-in or at least program a time-out to avoid this frustrating situation.,hotel give password guest check least program time avoid frustrating situation
87,87,[0],0.916700005531311,"time, room, check, stay, metro, anything, less, go, good, arrive","for the standard they boast, you are better off staying in a lesser star establishment where you will get better service.",standard boast well stay less star establishment get good service
88,88,[5],0.9388999938964844,"room, get, stay, go, tip, staff, good, book, check, like","at bar called vang gogh the owner play piano.....try the dada falafel at oranien str, and cafe einstein.",bar call vang gogh owner play piano try dada falafel oranien str cafe einstein
89,89,[11],0.8853999972343445,"room, get, one, take, tip, hotel, use, good, could, drink",Just hope that you get there to get a room ahead of someone else!,hope get get room ahead someone else
90,90,[11],0.8166999816894531,"room, get, one, take, tip, hotel, use, good, could, drink",Beware: some rooms are very small and outdated,beware room small outdated
91,91,[5],0.770799994468689,"room, get, stay, go, tip, staff, good, book, check, like",My recommendation: Save your money!,recommendation save money
92,92,[3],0.8853999972343445,"good, hotel, would, walk, free, take, minute, recommend, berlin, make",There are several better hotels nearby who appreciate your business and will work with you.,several good hotel nearby appreciate business work
93,93,[3],0.9236000180244446,"good, hotel, would, walk, free, take, minute, recommend, berlin, make",Take my advise: spend your well earned money at King's Motel (1/2 block away) or at the Sheraton or Weston.,take advise spend earn money king motel block away sheraton weston
94,94,[7],0.9388999938964844,"would, recommend, hotel, room, stay, need, view, like, make, nice","If you book a room, ask for a space needle view--I stayed on the 6th floor in a corner room and had a nice view.",book room ask space needle view stay 6 th floor corner room nice view
95,95,[2],0.916700005531311,"go, breakfast, want, think, look, block, get, recommend, around, best","If you don't mind walking, you are only a couple blocks from Westlake shopping center and a few blocks from Pike's Marketplace.",mind walk couple block westlake shopping center block pike marketplace
96,96,[10],0.8166999816894531,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night",I felt relaxed and comfortable there--I recommend it.,felt relaxed comfortable recommend
97,97,[7],0.9236000180244446,"would, recommend, hotel, room, stay, need, view, like, make, nice","and we had a balcony and a great view of the Space Needle (I'd recommend asking for a space needle view, if you book).",balcony great view space needle recommend ask space needle view book
98,98,[7],0.8690000176429749,"would, recommend, hotel, room, stay, need, view, like, make, nice",though you need to check the sheets before crawling into bed.,though need check sheet crawl bed
99,99,[6],0.9427000284194946,"hotel, look, place, would, room, upgrade, recommend, street, good, really","If you're going to Seattle, look hard at spending a little extra for another hotel - and you'll probably even end up right in the center of downtown.",go seattle look hard spending little extra another hotel probably even end right center downtown
100,100,[9],0.8471999764442444,"room, stay, go, hotel, look, leave, price, service, expect, place",The point is - don't advertise the service if there are caveats that go with it.,point advertise service caveat go
101,101,[8],0.9388999938964844,"hotel, room, avoid, need, view, park, walk, wonderful, area, rambla",Parking at $30 per day is an outrage but possibly standard for downtown (you can find street parking on the weekend to save a few dollars).,park 30 per day outrage possibly standard downtown find street park weekend save dollar
102,102,[7],0.8166999816894531,"would, recommend, hotel, room, stay, need, view, like, make, nice","Overall, I would not recommend this hotel.",overall would recommend hotel
103,103,[1],0.916700005531311,"place, hotel, want, stay, highly, recommend, please, call, restaurant, book",although the marble in the bathrooms could have used a thorough cleaning as they had dirt and rust stains.,although marble bathroom could use thorough cleaning dirt rust stain
104,104,[6],0.8471999764442444,"hotel, look, place, would, room, upgrade, recommend, street, good, really",This hotel is good if you are just looking to catch some sleep,hotel good look catch sleep
105,105,[2],0.9236000180244446,"go, breakfast, want, think, look, block, get, recommend, around, best",If you want to soak in the hot-tub or swim in the pool at the end of a long day look for other accommodations.,want soak hot tub swim pool end long day look accommodation
106,106,[4],0.8853999972343445,"stay, room, hotel, would, get, recommend, want, need, go, one","As other reviewers have mentioned, however, street noise is a factor to be considered.",reviewer mention however street noise factor consider
107,107,[11],0.8981000185012817,"room, get, one, take, tip, hotel, use, good, could, drink","Most importantly, if you are planning to use the wi-fi internet access, BEWARE.",importantly plan use wi fi internet access beware
108,108,[5],0.8853999972343445,"room, get, stay, go, tip, staff, good, book, check, like","Bottom line, if internet access is a factor, stay elsewhere.",bottom line internet access factor stay elsewhere
109,109,[10],0.8166999816894531,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night",This is not a hotel I can recommend for any type of group.,hotel recommend type group
110,110,[10],0.8981000185012817,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night","If this is your preference, be advised that the balconies are barely wide enough to fit a human.",preference advise balcony barely wide enough fit human
111,111,[3],0.8981000185012817,"good, hotel, would, walk, free, take, minute, recommend, berlin, make","Smokers beware: the hotel only has a few smoking rooms, all located on the second floor.",smoker beware hotel smoking room locate second floor
112,112,[8],0.90829998254776,"hotel, room, avoid, need, view, park, walk, wonderful, area, rambla","However, if you avoid the second floor rooms and don't mind a little construction noise,",however avoid second floor room mind little construction noise
113,113,[2],0.8166999816894531,"go, breakfast, want, think, look, block, get, recommend, around, best",Go somewhere with better service.,go somewhere well service
114,114,[5],0.9427000284194946,"room, get, stay, go, tip, staff, good, book, check, like","It wasn't just us, so beware, if you book at the Warwick, you will eventually get a beautiful room hopefully, but may need to deal with some not-so-nice staff to get it.",us beware book warwick eventually get beautiful room hopefully may need deal nice staff get
115,115,[9],0.8690000176429749,"room, stay, go, hotel, look, leave, price, service, expect, place",but we could never figure out how that worked (do some research before you go!!).,could never figure work research go
116,116,[8],0.916700005531311,"hotel, room, avoid, need, view, park, walk, wonderful, area, rambla",but for a really great breakfast walk a block to the Mayflower Park Hotel (pricey but fabulous).,really great breakfast walk block mayflower park hotel pricey fabulous
117,117,[7],0.8981000185012817,"would, recommend, hotel, room, stay, need, view, like, make, nice","I would recommend the Warwick to someone looking for a reasonable priced hotel,",would recommend warwick someone look reasonable price hotel
118,118,[9],0.6944000124931335,"room, stay, go, hotel, look, leave, price, service, expect, place",but don't expect too much.,expect much
119,119,[1],0.916700005531311,"place, hotel, want, stay, highly, recommend, please, call, restaurant, book","Beware, if you use the Grayline for transportation, allow plenty of time, as they ran up to an hour late.",beware use grayline transportation allow plenty time run hour late
120,120,[10],0.8471999764442444,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night","However, there is a good advantage to this hotel if you have a car.",however good advantage hotel car
121,121,[4],0.8853999972343445,"stay, room, hotel, would, get, recommend, want, need, go, one",You can park your car yourself and save money doing without valet service.,park car save money without valet service
122,122,[4],0.916700005531311,"stay, room, hotel, would, get, recommend, want, need, go, one",Parking was expensive and there was no elevator in the parkade so if you have any mobility problems you need to use the valet parking.,park expensive elevator parkade mobility problem need use valet parking
123,123,[3],0.958299994468689,"good, hotel, would, walk, free, take, minute, recommend, berlin, make",Suggestions: Woodland Park Zoo (fantastic and worth the 10 minute bus drive out of downtown); Anthony's Pier 66 (excellent seafood restaurant on the waterfront) Enjoy your stay at the Moore!,suggestion woodland park zoo fantastic worth 10 minute bus drive downtown anthony pier 66 excellent seafood restaurant waterfront enjoy stay moore
124,124,[8],0.9294999837875366,"hotel, room, avoid, need, view, park, walk, wonderful, area, rambla",Rooms do not appear to have any functioning heating or built in fan/cooler/heaters which is a bit of a drawback depending on when you visit.,room appear function heating build fan cooler heater bite drawback depend visit
125,125,[1],0.9294999837875366,"place, hotel, want, stay, highly, recommend, please, call, restaurant, book",Travellers considering staying at the mediocre Hostelling International Seattle should seriously consider staying at the Moore instead.,traveller consider stay mediocre hostelling international seattle seriously consider stay moore instead
126,126,[9],0.8690000176429749,"room, stay, go, hotel, look, leave, price, service, expect, place",and the price virtually the same if you were considering a private room at HI.,price virtually consider private room hi
127,127,[8],0.9388999938964844,"hotel, room, avoid, need, view, park, walk, wonderful, area, rambla",Request a 6th or 7th floor room facing the water and you'll enjoy a view that most visitors pay through the nose for.,request 6 th 7 th floor room face water enjoy view visitor pay nose
128,128,[10],0.9294999837875366,"hotel, recommend, restaurant, want, good, room, highly, late, breakfast, night","Walk to Pike Place in the morning, shopping at Pioneer Square in the afternoon, visit nearby Belltown at night.",walk pike place morning shopping pioneer square afternoon visit nearby belltown night
129,129,[6],0.6944000124931335,"hotel, look, place, would, room, upgrade, recommend, street, good, really",Walk everywhere.,walk everywhere
130,130,[0],0.916700005531311,"time, room, check, stay, metro, anything, less, go, good, arrive",They'll hold your luggage for you either before your check-in time or after you've checked out but have a few hours to kill before catching your flight.,hold luggage either check time check hour kill catch flight
131,131,[3],0.9460999965667725,"good, hotel, would, walk, free, take, minute, recommend, berlin, make","Visiting the convention center - it's less than 10 minutes walk, grab coffee at the French Bakery at Pike's Place before you head into convention hell.",visit convention center less 10 minute walk grab coffee french bakery pike place head convention hell
132,132,[6],0.934499979019165,"hotel, look, place, would, room, upgrade, recommend, street, good, really",there are two lots on either side of the hotel or try the Bon/Macy's parking lot for something a bit cheaper.,two lot either side hotel try bon macy park lot something bit cheap
133,133,[3],0.958299994468689,"good, hotel, would, walk, free, take, minute, recommend, berlin, make","Oh, and they like to keep your key at the front desk - there is only ONE KEY available per room, so if you're sharing with someone but have different itineraries, make a habit of dropping the key off at the front desk.",oh like keep key front desk one key available per room share someone different itinerary make habit drop key front desk
134,134,[6],0.8471999764442444,"hotel, look, place, would, room, upgrade, recommend, street, good, really",Give this place a go - just catch up on sleepbefore you do.,give place go catch sleepbefore
135,135,[1],0.41019999980926514,"place, hotel, want, stay, highly, recommend, please, call, restaurant, book",so you don't have to walk if you don't want to.,walk want
136,136,[6],0.8981000185012817,"hotel, look, place, would, room, upgrade, recommend, street, good, really",5h on  a platform to look down  Really: NOT TO DO - the bar in the Moore: rough.,5 h platform look really bar moore rough
137,137,[9],0.954200029373169,"room, stay, go, hotel, look, leave, price, service, expect, place","My suggestion to anyone considering the Moore: If you want the low price, stay outside of DT since you will have to pay for parking anyways, or break the bank and stay at a nicer place!",suggestion anyone consider moore want low price stay outside dt since pay parking anyways break bank stay nice place
138,138,[6],0.8690000176429749,"hotel, look, place, would, room, upgrade, recommend, street, good, really",and I've got to say that it was in desperate need of an update (and I'm not picky).,got say desperate need update picky
139,139,[9],0.8690000176429749,"room, stay, go, hotel, look, leave, price, service, expect, place",Make no mistake - the Moore is pretty much a dump.,make mistake moore pretty much dump
140,140,[6],0.8471999764442444,"hotel, look, place, would, room, upgrade, recommend, street, good, really",Be careful of the room type if you are more than one person.,careful room type one person
141,141,[2],0.8981000185012817,"go, breakfast, want, think, look, block, get, recommend, around, best",You can catch the monorail a block from the hotel if you want to visit the Seattle Center.,catch monorail block hotel want visit seattle center
142,142,[6],0.5012999773025513,"hotel, look, place, would, room, upgrade, recommend, street, good, really",Just make sure you stay in the remodeled section.,make sure stay remodel section
143,143,[7],0.8690000176429749,"would, recommend, hotel, room, stay, need, view, like, make, nice",I'd suggest staying away from the in hotel restaurant.,would suggest stay away hotel restaurant
144,144,[2],0.8690000176429749,"go, breakfast, want, think, look, block, get, recommend, around, best","My suggestion would be to have a donut and coffee for breakfast, you're in Seattle after all!",suggestion would donut coffee breakfast seattle
145,145,[4],0.8981000185012817,"stay, room, hotel, would, get, recommend, want, need, go, one","Park across the street, $6 for 24hrs on weekends, $35+ at the hotel.",park across street 24 hr weekend 35 hotel
146,146,[4],0.934499979019165,"stay, room, hotel, would, get, recommend, want, need, go, one","What respectable hotel, especially one with such expensive rooms, would have the gall to also charge lodging for their guests' cars?",respectable hotel especially one expensive room would gall also charge lodge guest car
147,147,[4],0.8853999972343445,"stay, room, hotel, would, get, recommend, want, need, go, one","For what we paid for those rooms, they should have been courteous enough not to ream us on parking.",pay room courteous enough ream us park
148,148,[11],0.7254999876022339,"room, get, one, take, tip, hotel, use, good, could, drink",One small note -- there is a great Vietnamese restaurant around the corner called Bambuza -- don't miss it!,one small note great vietnamese restaurant around corner call bambuza miss
149,149,[9],0.6944000124931335,"room, stay, go, hotel, look, leave, price, service, expect, place",Be careful with this hotel.,careful hotel
150,150,[9],0.770799994468689,"room, stay, go, hotel, look, leave, price, service, expect, place","Whatever you do, don't stay at this hotel.",whatever stay hotel
