,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Cleaned Data,cluster_tag
17,17,[3],0.1363,"recommend, highly, place, day, find, location, rate, rent, drive, bring",Dont go for the pictures on the starwood internet site.,go picture starwood internet site,['staff']
18,18,[2],0.15,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",My take on it is that the sewer system put in by the GDR needs to be replaced.,take sewer system put gdr need replace,['location']
19,19,[4],0.1617,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","Bottom line: pick another hotel, the Starwood Group has a white elephant on their hands with this smelly grand hotel.",bottom line pick another hotel starwood group white elephant hand smelly grand hotel,['value']
20,20,[3],0.1544,"recommend, highly, place, day, find, location, rate, rent, drive, bring",so I really highly recommend.,really highly recommend,['staff']
21,21,[6],0.1599,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",Hilton - stay on executive floor (great lounge) get a room overlooking the Gendarmenmarkt (beautiful day and night).,hilton stay executive floor great lounge get room overlook gendarmenmarkt beautiful day night,['service']
22,22,[4],0.1458,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","Anyone looking for something a little bit special should look elsewhere,",anyone look something little bit special look elsewhere,['value']
23,23,[2],0.1394,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",You may be well advised to try another address...,may advise try another address,['location']
24,24,[2],0.1499,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Another comfortable chair in the room, there's one, would be a plus We only ate one breakfast here because we slept in, but its a bit expensive.",another comfortable chair room one would plus eat one breakfast slept bit expensive,['location']
25,25,[7],0.1447,"good, recommend, staff, price, place, city, nice, water, visit, side",but most bathrooms are in urgent need of remodelling (the existing ones are dating back to the 60s!).,bathroom urgent need remodelling exist one date back 60,['food']
26,26,[2],0.1394,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",it is better to avoid the bar.,well avoid bar,['location']
27,27,[0],0.1528,"room, floor, view, call, clean, internet, service, drink, high, deal",They do serve drinks upon request in the lobby and you better ask them to do so.,serve drink upon request lobby well ask,['facility']
28,28,[6],0.1422,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",but a bit pricey 19euros since you can have a decent breakfest in any Kaffee in Berlin.,bit pricey 19 euro since decent breakfest kaffee berlin,['service']
29,29,[4],0.1368,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",I do recommand Kaffee Einstein.,recommand kaffee einstein,['value']
30,30,[7],0.1373,"good, recommend, staff, price, place, city, nice, water, visit, side","If you're a non-smoker, don't stay here!",non smoker stay,['food']
31,31,[0],0.1422,"room, floor, view, call, clean, internet, service, drink, high, deal",The rooms need a re-do.,room need,['facility']
32,32,[1],0.1368,"walk, make, expect, night, leave, shop, beware, careful, service, line",You must use these or risk breaking your leg.,must use risk break leg,['quality']
33,33,[0],0.1368,"room, floor, view, call, clean, internet, service, drink, high, deal",YOu do have to shop around on the newt to get best deal.,shop around newt get best deal,['facility']
34,34,[4],0.1473,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",Definitely avoid travelling by Easyjet at weekend late evenings!,definitely avoid travel easyjet weekend late evening,['value']
35,35,[6],0.17,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",One more thing- if you want to visit the Bundestag it is a good idea to book a tour (in english) in advance.,one thing want visit bundestag good idea book tour english advance,['service']
36,36,[5],0.146,"stay, resort, mind, suggest, money, car, front, star, noise, choice",Stayed here for a conference and would not advise it for people with other options.,stay conference would advise people option,['room']
37,37,[6],0.1595,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","The location is okay for but for better restaurants and sight-seeing, stay closer to Postdamer Platz or Mitte.",location okay well restaurant sight see stay closer postdamer platz mitte,['service']
38,38,[0],0.1528,"room, floor, view, call, clean, internet, service, drink, high, deal",If you go to this hotel don`t book a standard room.,go hotel book standard room,['facility']
39,39,[6],0.1515,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",but the bathroom was tired and in need of refurbishment.,bathroom tire need refurbishment,['service']
40,40,[4],0.1373,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",I would not recommend this hotel.,would recommend hotel,['value']
41,41,[0],0.1535,"room, floor, view, call, clean, internet, service, drink, high, deal","Whilst the room was indeed large, clean and functional it lacked the finishing touches that one expects from 5-star accommodation.",whilst room indeed large clean functional lack finishing touch one expect star accommodation,['facility']
42,42,[4],0.169,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","The Restaurants in the hotel are okay, though if not eating in the hotel I would advise you to look further a field as the restaurants/caf�__�_��_s close by are not particularly good.",restaurant hotel okay though eating hotel would advise look field restaurant caf close particularly good,['value']
43,43,[6],0.2829,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","For those looking for things to do whilst in Berlin, I would highly recommend the walking tours offered by Original Berlin Walks (Discover Berlin) and Sandemans New Berlin (Red Berlin Tour and the Free Tour).",look thing whilst berlin would highly recommend walking tour offer original berlin walk discover berlin sandemans new berlin red berlin tour free tour,['service']
44,44,[5],0.1351,"stay, resort, mind, suggest, money, car, front, star, noise, choice","I would not recommend staying here,",would recommend stay,['room']
45,45,[0],0.15,"room, floor, view, call, clean, internet, service, drink, high, deal",The room - on the executive floor - could have used a good dusting.,room executive floor could use good dusting,['facility']
46,46,[3],0.1584,"recommend, highly, place, day, find, location, rate, rent, drive, bring",Be sure to pick up an umbrella (for free) at the concierge if you anticipate rain while sightseeing.,sure pick umbrella free concierge anticipate rain sightseeing,['staff']
47,47,[2],0.1368,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",you can go buy your own water and snacks.,go buy water snack,['location']
48,48,[1],0.1944,"walk, make, expect, night, leave, shop, beware, careful, service, line","you might want to bring ear plugs to protect you from your neighbor's late-night television, discussions, etc. I stayed there for business and then a few days being a tourist.",might want bring ear plug protect neighbor late night television discussion etc stayed business day tourist,['quality']
49,49,[1],0.1926,"walk, make, expect, night, leave, shop, beware, careful, service, line","The only warning I have to offer is if you want to sleep past 8 AM, make sure you hang the do not disturb sign on your door.",warn offer want sleep past make sure hang disturb sign door,['quality']
50,50,[1],0.1368,"walk, make, expect, night, leave, shop, beware, careful, service, line",This makes me not want to recommend this hotel.,make want recommend hotel,['quality']
51,51,[2],0.1379,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",I would strongly reccomend this hotel and would have no hesitation in staying there again.,would strongly reccomend hotel would hesitation stay,['location']
52,52,[1],0.133,"walk, make, expect, night, leave, shop, beware, careful, service, line",but eventually need renovating.,eventually need renovate,['quality']
53,53,[6],0.1445,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",Please read this before before booking your break away in this hotel.,please read book break away hotel,['service']
54,54,[7],0.148,"good, recommend, staff, price, place, city, nice, water, visit, side","So, if you are not looking for service, unfriendly staff, basic facilities then I recommend you book this place!",look service unfriendly staff basic facility recommend book place,['food']
55,55,[7],0.1444,"good, recommend, staff, price, place, city, nice, water, visit, side","Please do not be fooled by the pictures on the internet - If you book this hotel, please expect an 'Allocation on Arrival' service as you will have no idea where you will be placed.",please fool picture internet book hotel please expect allocation arrival service idea place,['food']
56,56,[6],0.1507,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",The hotel is very tired and is in desperate need of a refurb.,hotel tire desperate need refurb,['service']
57,57,[2],0.1845,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","When we booked the room the description on the website said it came with a separate seating area, despite raising the issue with reception we were basically told this was not so , I guess someone needs to amend the website.",booked room description website say come separate seating area despite raise issue reception basically tell guess someone need amend website,['location']
58,58,[7],0.1553,"good, recommend, staff, price, place, city, nice, water, visit, side",Berlin is a top city and highly recommended for New Year!,berlin top city highly recommend new year,['food']
59,59,[1],0.1474,"walk, make, expect, night, leave, shop, beware, careful, service, line",Try out a trabi safari - it is great fun - especially in 3ft of snow in a car with no heating......................,try trabi safari great fun especially 3 ft snow car heating,['quality']
60,60,[6],0.1373,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",but the whole place is in serious need of a refurbishment.,whole place serious need refurbishment,['service']
61,61,[5],0.1623,"stay, resort, mind, suggest, money, car, front, star, noise, choice",Beware of smoking areas for people having breakfast that are very close to non-smoking.,beware smoke area people breakfast close non smoke,['room']
62,62,[4],0.1428,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",If you do not expect any kind of service whatsoever then go ahead and book these hotels but be sure what you are getting as they also have a third old building across the street which is a little more convenient than having to drag luggage three long blocks,expect kind service whatsoever go ahead book hotel sure get also third old building across street little convenient drag luggage three long block,['value']
63,63,[5],0.1528,"stay, resort, mind, suggest, money, car, front, star, noise, choice",if you're looking for a high end hotel i suggest you go somewhere else.,look high end hotel suggest go somewhere else,['room']
64,64,[3],0.1533,"recommend, highly, place, day, find, location, rate, rent, drive, bring",Especially good for shopping on the Kurfustendamm...bring an extra bag!!,especially good shopping kurfustendamm bring extra bag,['staff']
65,65,[4],0.146,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",I would not recommend the restaurant either the food in not good quality,would recommend restaurant either food good quality,['value']
66,66,[7],0.1343,"good, recommend, staff, price, place, city, nice, water, visit, side",This hotel is badly in need of a manager who knows what is going on in the place.,hotel badly need manager know go place,['food']
67,67,[0],0.2323,"room, floor, view, call, clean, internet, service, drink, high, deal","Negatives: Bed (if you are used to Sofitel beds from around there world don't stay here), bedding (old polyester), house keeping (on both morning the room was not properly cleaned and coffee and toiletry supplies were not replenished; the room was also not very clean with huge stains on the curtains), in room equipment (if you love 70s retro you will love the TV in the room).",negative bed used sofitel bed around world stay bed old polyester house keep morning room properly clean coffee toiletry supply replenish room also clean huge stain curtain room equipment love 70 retro love tv room,['facility']
68,68,[0],0.1652,"room, floor, view, call, clean, internet, service, drink, high, deal","This hotel should not be allowed to call itself a Sofitel as the rooms are well below standard, the staff however are right up there.",hotel allow call sofitel room standard staff however right,['facility']
69,69,[0],0.1343,"room, floor, view, call, clean, internet, service, drink, high, deal",you really want a room at the back of the hotel rather than at the front.,really want room back hotel rather front,['facility']
70,70,[3],0.1394,"recommend, highly, place, day, find, location, rate, rent, drive, bring",I do wish that the staff were more accomodating.,wish staff accomodating,['staff']
71,71,[6],0.1511,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",If you prefer an outside room ask for one on an upper floor facing towards Berlin Catherdral only some 100 yards away.,prefer outside room ask one upper floor facing towards berlin catherdral 100 yard away,['service']
72,72,[1],0.1399,"walk, make, expect, night, leave, shop, beware, careful, service, line",and they should send the staff on a training course in customer relations.,send staff training course customer relation,['quality']
73,73,[1],0.1398,"walk, make, expect, night, leave, shop, beware, careful, service, line",Try and find a web deal (I booked via Hotel[-]): during Summer rooms can be booked for as low as 59 euro (and that includes breakfast).,try find web deal book via hotel summer room book low 59 euro include breakfast,['quality']
74,74,[6],0.1718,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",I would advise getting an inclusive deal or eating at one of the many local cafes which offered breakfast for a third of the price.,would advise get inclusive deal eat one many local cafe offer breakfast third price,['service']
75,75,[4],0.1557,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",I most warn everybody to avoid this hotel.,warn everybody avoid hotel,['value']
76,76,[1],0.1394,"walk, make, expect, night, leave, shop, beware, careful, service, line",I really advice the hotel,really advice hotel,['quality']
77,77,[7],0.148,"good, recommend, staff, price, place, city, nice, water, visit, side",but some of the staff behind reception need a few lessons in customer service (ie.,staff behind reception need lesson customer service ie,['food']
78,78,[7],0.148,"good, recommend, staff, price, place, city, nice, water, visit, side",a smile or even some acknowledgment when handing in keys wouldn't go amiss).,smile even acknowledgment hand key would go amiss,['food']
79,79,[4],0.1612,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",but for those on a budget and do not mind relinquishing some comforts then this hotel is fine.,budget mind relinquish comfort hotel fine,['value']
80,80,[4],0.1394,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",I would NOT recommend this hotel to anyone I liked.,would recommend hotel anyone like,['value']
81,81,[7],0.1612,"good, recommend, staff, price, place, city, nice, water, visit, side",If you are STILL temped to stay at this place: TAKE VERY GOOD EAR PLUGS.,still temped stay place take good ear plug,['food']
82,82,[1],0.1394,"walk, make, expect, night, leave, shop, beware, careful, service, line",DON'T EXPECT ANYTHING AND YOU WON'T BE DISAPPOINTED!!!!,expect anything disappointed,['quality']
83,83,[5],0.1434,"stay, resort, mind, suggest, money, car, front, star, noise, choice",and in my oppinion a hostel would be better than wasting your money on a somewhat dodgy three stars.,oppinion hostel would better waste money somewhat dodgy three star,['room']
84,84,[0],0.1373,"room, floor, view, call, clean, internet, service, drink, high, deal","If you are a espresso lover, well this is for you.",espresso lover,['facility']
85,85,[7],0.1404,"good, recommend, staff, price, place, city, nice, water, visit, side",But given the price I would recommend this one unreservedly.,give price would recommend one unreservedly,['food']
86,86,[2],0.1671,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",The hotel should give a password out to guests that check-in or at least program a time-out to avoid this frustrating situation.,hotel give password guest check least program time avoid frustrating situation,['location']
87,87,[7],0.1467,"good, recommend, staff, price, place, city, nice, water, visit, side","for the standard they boast, you are better off staying in a lesser star establishment where you will get better service.",standard boast well stay less star establishment get good service,['food']
88,88,[1],0.1539,"walk, make, expect, night, leave, shop, beware, careful, service, line","at bar called vang gogh the owner play piano.....try the dada falafel at oranien str, and cafe einstein.",bar call vang gogh owner play piano try dada falafel oranien str cafe einstein,['quality']
89,89,[0],0.1389,"room, floor, view, call, clean, internet, service, drink, high, deal",Just hope that you get there to get a room ahead of someone else!,hope get get room ahead someone else,['facility']
90,90,[0],0.1343,"room, floor, view, call, clean, internet, service, drink, high, deal",Beware: some rooms are very small and outdated,beware room small outdated,['facility']
91,91,[1],0.1368,"walk, make, expect, night, leave, shop, beware, careful, service, line",My recommendation: Save your money!,recommendation save money,['quality']
92,92,[4],0.15,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",There are several better hotels nearby who appreciate your business and will work with you.,several good hotel nearby appreciate business work,['value']
93,93,[6],0.1624,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",Take my advise: spend your well earned money at King's Motel (1/2 block away) or at the Sheraton or Weston.,take advise spend earn money king motel block away sheraton weston,['service']
94,94,[0],0.1976,"room, floor, view, call, clean, internet, service, drink, high, deal","If you book a room, ask for a space needle view--I stayed on the 6th floor in a corner room and had a nice view.",book room ask space needle view stay 6 th floor corner room nice view,['facility']
95,95,[6],0.1671,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade","If you don't mind walking, you are only a couple blocks from Westlake shopping center and a few blocks from Pike's Marketplace.",mind walk couple block westlake shopping center block pike marketplace,['service']
96,96,[3],0.1631,"recommend, highly, place, day, find, location, rate, rent, drive, bring",I felt relaxed and comfortable there--I recommend it.,felt relaxed comfortable recommend,['staff']
97,97,[0],0.1708,"room, floor, view, call, clean, internet, service, drink, high, deal","and we had a balcony and a great view of the Space Needle (I'd recommend asking for a space needle view, if you book).",balcony great view space needle recommend ask space needle view book,['facility']
98,98,[5],0.1363,"stay, resort, mind, suggest, money, car, front, star, noise, choice",though you need to check the sheets before crawling into bed.,though need check sheet crawl bed,['room']
99,99,[5],0.1518,"stay, resort, mind, suggest, money, car, front, star, noise, choice","If you're going to Seattle, look hard at spending a little extra for another hotel - and you'll probably even end up right in the center of downtown.",go seattle look hard spending little extra another hotel probably even end right center downtown,['room']
100,100,[0],0.1466,"room, floor, view, call, clean, internet, service, drink, high, deal",The point is - don't advertise the service if there are caveats that go with it.,point advertise service caveat go,['facility']
101,101,[3],0.1768,"recommend, highly, place, day, find, location, rate, rent, drive, bring",Parking at $30 per day is an outrage but possibly standard for downtown (you can find street parking on the weekend to save a few dollars).,park 30 per day outrage possibly standard downtown find street park weekend save dollar,['staff']
102,102,[4],0.1351,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","Overall, I would not recommend this hotel.",overall would recommend hotel,['value']
103,103,[3],0.1473,"recommend, highly, place, day, find, location, rate, rent, drive, bring",although the marble in the bathrooms could have used a thorough cleaning as they had dirt and rust stains.,although marble bathroom could use thorough cleaning dirt rust stain,['staff']
104,104,[7],0.1404,"good, recommend, staff, price, place, city, nice, water, visit, side",This hotel is good if you are just looking to catch some sleep,hotel good look catch sleep,['food']
105,105,[5],0.1756,"stay, resort, mind, suggest, money, car, front, star, noise, choice",If you want to soak in the hot-tub or swim in the pool at the end of a long day look for other accommodations.,want soak hot tub swim pool end long day look accommodation,['room']
106,106,[2],0.1419,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","As other reviewers have mentioned, however, street noise is a factor to be considered.",reviewer mention however street noise factor consider,['location']
107,107,[5],0.1467,"stay, resort, mind, suggest, money, car, front, star, noise, choice","Most importantly, if you are planning to use the wi-fi internet access, BEWARE.",importantly plan use wi fi internet access beware,['room']
108,108,[1],0.1652,"walk, make, expect, night, leave, shop, beware, careful, service, line","Bottom line, if internet access is a factor, stay elsewhere.",bottom line internet access factor stay elsewhere,['quality']
109,109,[3],0.1631,"recommend, highly, place, day, find, location, rate, rent, drive, bring",This is not a hotel I can recommend for any type of group.,hotel recommend type group,['staff']
110,110,[1],0.1389,"walk, make, expect, night, leave, shop, beware, careful, service, line","If this is your preference, be advised that the balconies are barely wide enough to fit a human.",preference advise balcony barely wide enough fit human,['quality']
111,111,[0],0.1486,"room, floor, view, call, clean, internet, service, drink, high, deal","Smokers beware: the hotel only has a few smoking rooms, all located on the second floor.",smoker beware hotel smoking room locate second floor,['facility']
112,112,[0],0.1473,"room, floor, view, call, clean, internet, service, drink, high, deal","However, if you avoid the second floor rooms and don't mind a little construction noise,",however avoid second floor room mind little construction noise,['facility']
113,113,[0],0.1334,"room, floor, view, call, clean, internet, service, drink, high, deal",Go somewhere with better service.,go somewhere well service,['facility']
114,114,[0],0.1568,"room, floor, view, call, clean, internet, service, drink, high, deal","It wasn't just us, so beware, if you book at the Warwick, you will eventually get a beautiful room hopefully, but may need to deal with some not-so-nice staff to get it.",us beware book warwick eventually get beautiful room hopefully may need deal nice staff get,['facility']
115,115,[5],0.1515,"stay, resort, mind, suggest, money, car, front, star, noise, choice",but we could never figure out how that worked (do some research before you go!!).,could never figure work research go,['room']
116,116,[4],0.1417,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",but for a really great breakfast walk a block to the Mayflower Park Hotel (pricey but fabulous).,really great breakfast walk block mayflower park hotel pricey fabulous,['value']
117,117,[0],0.15,"room, floor, view, call, clean, internet, service, drink, high, deal","I would recommend the Warwick to someone looking for a reasonable priced hotel,",would recommend warwick someone look reasonable price hotel,['facility']
118,118,[1],0.1422,"walk, make, expect, night, leave, shop, beware, careful, service, line",but don't expect too much.,expect much,['quality']
119,119,[2],0.1729,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","Beware, if you use the Grayline for transportation, allow plenty of time, as they ran up to an hour late.",beware use grayline transportation allow plenty time run hour late,['location']
120,120,[7],0.1363,"good, recommend, staff, price, place, city, nice, water, visit, side","However, there is a good advantage to this hotel if you have a car.",however good advantage hotel car,['food']
121,121,[1],0.1513,"walk, make, expect, night, leave, shop, beware, careful, service, line",You can park your car yourself and save money doing without valet service.,park car save money without valet service,['quality']
122,122,[2],0.1614,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",Parking was expensive and there was no elevator in the parkade so if you have any mobility problems you need to use the valet parking.,park expensive elevator parkade mobility problem need use valet parking,['location']
123,123,[3],0.1741,"recommend, highly, place, day, find, location, rate, rent, drive, bring",Suggestions: Woodland Park Zoo (fantastic and worth the 10 minute bus drive out of downtown); Anthony's Pier 66 (excellent seafood restaurant on the waterfront) Enjoy your stay at the Moore!,suggestion woodland park zoo fantastic worth 10 minute bus drive downtown anthony pier 66 excellent seafood restaurant waterfront enjoy stay moore,['staff']
124,124,[0],0.168,"room, floor, view, call, clean, internet, service, drink, high, deal",Rooms do not appear to have any functioning heating or built in fan/cooler/heaters which is a bit of a drawback depending on when you visit.,room appear function heating build fan cooler heater bite drawback depend visit,['facility']
125,125,[5],0.1978,"stay, resort, mind, suggest, money, car, front, star, noise, choice",Travellers considering staying at the mediocre Hostelling International Seattle should seriously consider staying at the Moore instead.,traveller consider stay mediocre hostelling international seattle seriously consider stay moore instead,['room']
126,126,[7],0.1363,"good, recommend, staff, price, place, city, nice, water, visit, side",and the price virtually the same if you were considering a private room at HI.,price virtually consider private room hi,['food']
127,127,[0],0.1689,"room, floor, view, call, clean, internet, service, drink, high, deal",Request a 6th or 7th floor room facing the water and you'll enjoy a view that most visitors pay through the nose for.,request 6 th 7 th floor room face water enjoy view visitor pay nose,['facility']
128,128,[1],0.1599,"walk, make, expect, night, leave, shop, beware, careful, service, line","Walk to Pike Place in the morning, shopping at Pioneer Square in the afternoon, visit nearby Belltown at night.",walk pike place morning shopping pioneer square afternoon visit nearby belltown night,['quality']
129,129,[1],0.1422,"walk, make, expect, night, leave, shop, beware, careful, service, line",Walk everywhere.,walk everywhere,['quality']
130,130,[2],0.2039,"breakfast, tip, time, check, stay, free, bar, expensive, website, big",They'll hold your luggage for you either before your check-in time or after you've checked out but have a few hours to kill before catching your flight.,hold luggage either check time check hour kill catch flight,['location']
131,131,[7],0.1679,"good, recommend, staff, price, place, city, nice, water, visit, side","Visiting the convention center - it's less than 10 minutes walk, grab coffee at the French Bakery at Pike's Place before you head into convention hell.",visit convention center less 10 minute walk grab coffee french bakery pike place head convention hell,['food']
132,132,[4],0.185,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",there are two lots on either side of the hotel or try the Bon/Macy's parking lot for something a bit cheaper.,two lot either side hotel try bon macy park lot something bit cheap,['value']
133,133,[7],0.2086,"good, recommend, staff, price, place, city, nice, water, visit, side","Oh, and they like to keep your key at the front desk - there is only ONE KEY available per room, so if you're sharing with someone but have different itineraries, make a habit of dropping the key off at the front desk.",oh like keep key front desk one key available per room share someone different itinerary make habit drop key front desk,['food']
134,134,[5],0.1363,"stay, resort, mind, suggest, money, car, front, star, noise, choice",Give this place a go - just catch up on sleepbefore you do.,give place go catch sleepbefore,['room']
135,135,[1],0.1422,"walk, make, expect, night, leave, shop, beware, careful, service, line",so you don't have to walk if you don't want to.,walk want,['quality']
136,136,[5],0.152,"stay, resort, mind, suggest, money, car, front, star, noise, choice",5h on  a platform to look down  Really: NOT TO DO - the bar in the Moore: rough.,5 h platform look really bar moore rough,['room']
137,137,[7],0.1609,"good, recommend, staff, price, place, city, nice, water, visit, side","My suggestion to anyone considering the Moore: If you want the low price, stay outside of DT since you will have to pay for parking anyways, or break the bank and stay at a nicer place!",suggestion anyone consider moore want low price stay outside dt since pay parking anyways break bank stay nice place,['food']
138,138,[4],0.1536,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",and I've got to say that it was in desperate need of an update (and I'm not picky).,got say desperate need update picky,['value']
139,139,[1],0.1641,"walk, make, expect, night, leave, shop, beware, careful, service, line",Make no mistake - the Moore is pretty much a dump.,make mistake moore pretty much dump,['quality']
140,140,[0],0.1343,"room, floor, view, call, clean, internet, service, drink, high, deal",Be careful of the room type if you are more than one person.,careful room type one person,['facility']
141,141,[4],0.1408,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",You can catch the monorail a block from the hotel if you want to visit the Seattle Center.,catch monorail block hotel want visit seattle center,['value']
142,142,[1],0.1507,"walk, make, expect, night, leave, shop, beware, careful, service, line",Just make sure you stay in the remodeled section.,make sure stay remodel section,['quality']
143,143,[4],0.1528,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring",I'd suggest staying away from the in hotel restaurant.,would suggest stay away hotel restaurant,['value']
144,144,[5],0.148,"stay, resort, mind, suggest, money, car, front, star, noise, choice","My suggestion would be to have a donut and coffee for breakfast, you're in Seattle after all!",suggestion would donut coffee breakfast seattle,['room']
145,145,[4],0.174,"hotel, restaurant, street, park, avoid, area, lot, food, fine, bring","Park across the street, $6 for 24hrs on weekends, $35+ at the hotel.",park across street 24 hr weekend 35 hotel,['value']
146,146,[2],0.1568,"breakfast, tip, time, check, stay, free, bar, expensive, website, big","What respectable hotel, especially one with such expensive rooms, would have the gall to also charge lodging for their guests' cars?",respectable hotel especially one expensive room would gall also charge lodge guest car,['location']
147,147,[3],0.1338,"recommend, highly, place, day, find, location, rate, rent, drive, bring","For what we paid for those rooms, they should have been courteous enough not to ream us on parking.",pay room courteous enough ream us park,['staff']
148,148,[6],0.1549,"book, great, small, pool, minute, beach, eat, berlin, advise, upgrade",One small note -- there is a great Vietnamese restaurant around the corner called Bambuza -- don't miss it!,one small note great vietnamese restaurant around corner call bambuza miss,['service']
