,Title,Body,Cleaned Data,Cluster,cluster_id
16,berlin-hotel-191437-review-2.json_19,"If you get a great rate per night, like I did using a voucher system, is OK, but otherwise stay elsewhere.",get great rate per night like use voucher system ok otherwise stay elsewhere,service,6
17,berlin-hotel-191437-review-3.json_8,Dont go for the pictures on the starwood internet site.,go picture starwood internet site,service,6
18,berlin-hotel-191437-review-4.json_10,My take on it is that the sewer system put in by the GDR needs to be replaced.,take sewer system put gdr need replace,service,6
19,berlin-hotel-191437-review-4.json_11,"Bottom line: pick another hotel, the Starwood Group has a white elephant on their hands with this smelly grand hotel.",bottom line pick another hotel starwood group white elephant hand smelly grand hotel,staff,3
20,berlin-hotel-191437-review-8.json_5,so I really highly recommend.,really highly recommend,staff,3
21,berlin-hotel-191438-review-11.json_0,Hilton - stay on executive floor (great lounge) get a room overlooking the Gendarmenmarkt (beautiful day and night).,hilton stay executive floor great lounge get room overlook gendarmenmarkt beautiful day night,quality,1
22,berlin-hotel-191438-review-12.json_13,"Anyone looking for something a little bit special should look elsewhere,",anyone look something little bit special look elsewhere,service,6
23,berlin-hotel-191438-review-7.json_3,You may be well advised to try another address...,may advise try another address,service,6
24,berlin-hotel-198701-review-2.json_10,"Another comfortable chair in the room, there's one, would be a plus We only ate one breakfast here because we slept in, but its a bit expensive.",another comfortable chair room one would plus eat one breakfast slept bit expensive,quality,1
25,berlin-hotel-198701-review-4.json_2,but most bathrooms are in urgent need of remodelling (the existing ones are dating back to the 60s!).,bathroom urgent need remodelling exist one date back 60,service,6
26,berlin-hotel-198701-review-4.json_8,it is better to avoid the bar.,well avoid bar,service,6
27,berlin-hotel-198701-review-4.json_9,They do serve drinks upon request in the lobby and you better ask them to do so.,serve drink upon request lobby well ask,service,6
28,berlin-hotel-198701-review-5.json_9,but a bit pricey 19euros since you can have a decent breakfest in any Kaffee in Berlin.,bit pricey 19 euro since decent breakfest kaffee berlin,service,6
29,berlin-hotel-198701-review-5.json_10,I do recommand Kaffee Einstein.,recommand kaffee einstein,service,6
30,berlin-hotel-198701-review-6.json_0,"If you're a non-smoker, don't stay here!",non smoker stay,service,6
31,berlin-hotel-198701-review-6.json_8,The rooms need a re-do.,room need,quality,1
32,berlin-hotel-199395-review-3.json_17,You must use these or risk breaking your leg.,must use risk break leg,service,6
33,berlin-hotel-199395-review-3.json_21,YOu do have to shop around on the newt to get best deal.,shop around newt get best deal,service,6
34,berlin-hotel-199395-review-3.json_35,Definitely avoid travelling by Easyjet at weekend late evenings!,definitely avoid travel easyjet weekend late evening,service,6
35,berlin-hotel-199395-review-3.json_41,One more thing- if you want to visit the Bundestag it is a good idea to book a tour (in english) in advance.,one thing want visit bundestag good idea book tour english advance,service,6
36,berlin-hotel-199395-review-4.json_0,Stayed here for a conference and would not advise it for people with other options.,stay conference would advise people option,value,4
37,berlin-hotel-199395-review-4.json_6,"The location is okay for but for better restaurants and sight-seeing, stay closer to Postdamer Platz or Mitte.",location okay well restaurant sight see stay closer postdamer platz mitte,service,6
38,berlin-hotel-199395-review-6.json_0,If you go to this hotel don`t book a standard room.,go hotel book standard room,quality,1
39,berlin-hotel-199395-review-6.json_2,but the bathroom was tired and in need of refurbishment.,bathroom tire need refurbishment,service,6
40,berlin-hotel-199395-review-6.json_7,I would not recommend this hotel.,would recommend hotel,staff,3
41,berlin-hotel-199395-review-7.json_4,"Whilst the room was indeed large, clean and functional it lacked the finishing touches that one expects from 5-star accommodation.",whilst room indeed large clean functional lack finishing touch one expect star accommodation,quality,1
42,berlin-hotel-199395-review-7.json_14,"The Restaurants in the hotel are okay, though if not eating in the hotel I would advise you to look further a field as the restaurants/caf�__�_��_s close by are not particularly good.",restaurant hotel okay though eating hotel would advise look field restaurant caf close particularly good,staff,3
43,berlin-hotel-199395-review-7.json_20,"For those looking for things to do whilst in Berlin, I would highly recommend the walking tours offered by Original Berlin Walks (Discover Berlin) and Sandemans New Berlin (Red Berlin Tour and the Free Tour).",look thing whilst berlin would highly recommend walking tour offer original berlin walk discover berlin sandemans new berlin red berlin tour free tour,staff,3
44,berlin-hotel-199397-review-1.json_12,"I would not recommend staying here,",would recommend stay,value,4
45,berlin-hotel-199397-review-2.json_0,The room - on the executive floor - could have used a good dusting.,room executive floor could use good dusting,quality,1
46,berlin-hotel-199397-review-3.json_21,Be sure to pick up an umbrella (for free) at the concierge if you anticipate rain while sightseeing.,sure pick umbrella free concierge anticipate rain sightseeing,service,6
47,berlin-hotel-199420-review-1.json_14,you can go buy your own water and snacks.,go buy water snack,service,6
48,berlin-hotel-199420-review-1.json_21,"you might want to bring ear plugs to protect you from your neighbor's late-night television, discussions, etc. I stayed there for business and then a few days being a tourist.",might want bring ear plug protect neighbor late night television discussion etc stayed business day tourist,service,6
49,berlin-hotel-199420-review-1.json_22,"The only warning I have to offer is if you want to sleep past 8 AM, make sure you hang the do not disturb sign on your door.",warn offer want sleep past make sure hang disturb sign door,service,6
50,berlin-hotel-199430-review-1.json_26,This makes me not want to recommend this hotel.,make want recommend hotel,staff,3
51,berlin-hotel-199430-review-11.json_4,I would strongly reccomend this hotel and would have no hesitation in staying there again.,would strongly reccomend hotel would hesitation stay,value,4
52,berlin-hotel-199430-review-13.json_8,but eventually need renovating.,eventually need renovate,service,6
53,berlin-hotel-199430-review-2.json_0,Please read this before before booking your break away in this hotel.,please read book break away hotel,staff,3
54,berlin-hotel-199430-review-2.json_41,"So, if you are not looking for service, unfriendly staff, basic facilities then I recommend you book this place!",look service unfriendly staff basic facility recommend book place,staff,3
55,berlin-hotel-199430-review-2.json_42,"Please do not be fooled by the pictures on the internet - If you book this hotel, please expect an 'Allocation on Arrival' service as you will have no idea where you will be placed.",please fool picture internet book hotel please expect allocation arrival service idea place,staff,3
56,berlin-hotel-199430-review-5.json_1,The hotel is very tired and is in desperate need of a refurb.,hotel tire desperate need refurb,staff,3
57,berlin-hotel-199430-review-5.json_4,"When we booked the room the description on the website said it came with a separate seating area, despite raising the issue with reception we were basically told this was not so , I guess someone needs to amend the website.",booked room description website say come separate seating area despite raise issue reception basically tell guess someone need amend website,quality,1
58,berlin-hotel-199430-review-6.json_12,Berlin is a top city and highly recommended for New Year!,berlin top city highly recommend new year,staff,3
59,berlin-hotel-199430-review-6.json_13,Try out a trabi safari - it is great fun - especially in 3ft of snow in a car with no heating......................,try trabi safari great fun especially 3 ft snow car heating,service,6
60,berlin-hotel-199430-review-7.json_12,but the whole place is in serious need of a refurbishment.,whole place serious need refurbishment,service,6
61,berlin-hotel-199430-review-7.json_17,Beware of smoking areas for people having breakfast that are very close to non-smoking.,beware smoke area people breakfast close non smoke,service,6
62,berlin-hotel-199430-review-8.json_20,If you do not expect any kind of service whatsoever then go ahead and book these hotels but be sure what you are getting as they also have a third old building across the street which is a little more convenient than having to drag luggage three long blocks,expect kind service whatsoever go ahead book hotel sure get also third old building across street little convenient drag luggage three long block,staff,3
63,berlin-hotel-200437-review-1.json_10,if you're looking for a high end hotel i suggest you go somewhere else.,look high end hotel suggest go somewhere else,staff,3
64,berlin-hotel-200437-review-3.json_6,Especially good for shopping on the Kurfustendamm...bring an extra bag!!,especially good shopping kurfustendamm bring extra bag,service,6
65,berlin-hotel-200437-review-4.json_15,I would not recommend the restaurant either the food in not good quality,would recommend restaurant either food good quality,staff,3
66,berlin-hotel-200437-review-7.json_12,This hotel is badly in need of a manager who knows what is going on in the place.,hotel badly need manager know go place,staff,3
67,berlin-hotel-202450-review-1.json_23,"Negatives: Bed (if you are used to Sofitel beds from around there world don't stay here), bedding (old polyester), house keeping (on both morning the room was not properly cleaned and coffee and toiletry supplies were not replenished; the room was also not very clean with huge stains on the curtains), in room equipment (if you love 70s retro you will love the TV in the room).",negative bed used sofitel bed around world stay bed old polyester house keep morning room properly clean coffee toiletry supply replenish room also clean huge stain curtain room equipment love 70 retro love tv room,quality,1
68,berlin-hotel-202450-review-1.json_24,"This hotel should not be allowed to call itself a Sofitel as the rooms are well below standard, the staff however are right up there.",hotel allow call sofitel room standard staff however right,quality,1
69,berlin-hotel-202450-review-2.json_7,you really want a room at the back of the hotel rather than at the front.,really want room back hotel rather front,quality,1
70,berlin-hotel-202459-review-10.json_3,I do wish that the staff were more accomodating.,wish staff accomodating,service,6
71,berlin-hotel-202459-review-3.json_15,If you prefer an outside room ask for one on an upper floor facing towards Berlin Catherdral only some 100 yards away.,prefer outside room ask one upper floor facing towards berlin catherdral 100 yard away,quality,1
72,berlin-hotel-202459-review-7.json_10,and they should send the staff on a training course in customer relations.,send staff training course customer relation,service,6
73,berlin-hotel-202654-review-1.json_7,Try and find a web deal (I booked via Hotel[-]): during Summer rooms can be booked for as low as 59 euro (and that includes breakfast).,try find web deal book via hotel summer room book low 59 euro include breakfast,quality,1
74,berlin-hotel-228377-review-6.json_5,I would advise getting an inclusive deal or eating at one of the many local cafes which offered breakfast for a third of the price.,would advise get inclusive deal eat one many local cafe offer breakfast third price,service,6
75,berlin-hotel-228377-review-7.json_13,I most warn everybody to avoid this hotel.,warn everybody avoid hotel,staff,3
76,berlin-hotel-228395-review-1.json_5,I really advice the hotel,really advice hotel,staff,3
77,berlin-hotel-228395-review-2.json_9,but some of the staff behind reception need a few lessons in customer service (ie.,staff behind reception need lesson customer service ie,service,6
78,berlin-hotel-228395-review-2.json_10,a smile or even some acknowledgment when handing in keys wouldn't go amiss).,smile even acknowledgment hand key would go amiss,service,6
79,berlin-hotel-228395-review-2.json_38,but for those on a budget and do not mind relinquishing some comforts then this hotel is fine.,budget mind relinquish comfort hotel fine,staff,3
80,berlin-hotel-228395-review-3.json_28,I would NOT recommend this hotel to anyone I liked.,would recommend hotel anyone like,staff,3
81,berlin-hotel-228395-review-3.json_35,If you are STILL temped to stay at this place: TAKE VERY GOOD EAR PLUGS.,still temped stay place take good ear plug,service,6
82,berlin-hotel-228395-review-3.json_39,DON'T EXPECT ANYTHING AND YOU WON'T BE DISAPPOINTED!!!!,expect anything disappointed,service,6
83,berlin-hotel-228395-review-6.json_32,and in my oppinion a hostel would be better than wasting your money on a somewhat dodgy three stars.,oppinion hostel would better waste money somewhat dodgy three star,service,6
84,berlin-hotel-252106-review-10.json_6,"If you are a espresso lover, well this is for you.",espresso lover,service,6
85,berlin-hotel-279742-review-6.json_13,But given the price I would recommend this one unreservedly.,give price would recommend one unreservedly,staff,3
86,berlin-hotel-502108-review-2.json_9,The hotel should give a password out to guests that check-in or at least program a time-out to avoid this frustrating situation.,hotel give password guest check least program time avoid frustrating situation,staff,3
87,berlin-hotel-559593-review-3.json_10,"for the standard they boast, you are better off staying in a lesser star establishment where you will get better service.",standard boast well stay less star establishment get good service,service,6
88,berlin-hotel-589462-review-2.json_7,"at bar called vang gogh the owner play piano.....try the dada falafel at oranien str, and cafe einstein.",bar call vang gogh owner play piano try dada falafel oranien str cafe einstein,service,6
89,seattle-hotel-100505-review-10.json_1,Just hope that you get there to get a room ahead of someone else!,hope get get room ahead someone else,quality,1
90,seattle-hotel-100505-review-10.json_24,Beware: some rooms are very small and outdated,beware room small outdated,quality,1
91,seattle-hotel-100505-review-10.json_29,My recommendation: Save your money!,recommendation save money,service,6
92,seattle-hotel-100505-review-10.json_30,There are several better hotels nearby who appreciate your business and will work with you.,several good hotel nearby appreciate business work,staff,3
93,seattle-hotel-100505-review-10.json_32,Take my advise: spend your well earned money at King's Motel (1/2 block away) or at the Sheraton or Weston.,take advise spend earn money king motel block away sheraton weston,service,6
94,seattle-hotel-100505-review-12.json_8,"If you book a room, ask for a space needle view--I stayed on the 6th floor in a corner room and had a nice view.",book room ask space needle view stay 6 th floor corner room nice view,quality,1
95,seattle-hotel-100505-review-12.json_11,"If you don't mind walking, you are only a couple blocks from Westlake shopping center and a few blocks from Pike's Marketplace.",mind walk couple block westlake shopping center block pike marketplace,service,6
96,seattle-hotel-100505-review-12.json_16,I felt relaxed and comfortable there--I recommend it.,felt relaxed comfortable recommend,staff,3
97,seattle-hotel-100505-review-13.json_2,"and we had a balcony and a great view of the Space Needle (I'd recommend asking for a space needle view, if you book).",balcony great view space needle recommend ask space needle view book,staff,3
98,seattle-hotel-100505-review-14.json_8,though you need to check the sheets before crawling into bed.,though need check sheet crawl bed,service,6
99,seattle-hotel-100505-review-14.json_24,"If you're going to Seattle, look hard at spending a little extra for another hotel - and you'll probably even end up right in the center of downtown.",go seattle look hard spending little extra another hotel probably even end right center downtown,room,5
100,seattle-hotel-100505-review-15.json_12,The point is - don't advertise the service if there are caveats that go with it.,point advertise service caveat go,service,6
101,seattle-hotel-100505-review-18.json_7,Parking at $30 per day is an outrage but possibly standard for downtown (you can find street parking on the weekend to save a few dollars).,park 30 per day outrage possibly standard downtown find street park weekend save dollar,room,5
102,seattle-hotel-100505-review-19.json_8,"Overall, I would not recommend this hotel.",overall would recommend hotel,staff,3
103,seattle-hotel-100505-review-2.json_11,although the marble in the bathrooms could have used a thorough cleaning as they had dirt and rust stains.,although marble bathroom could use thorough cleaning dirt rust stain,service,6
104,seattle-hotel-100505-review-2.json_13,This hotel is good if you are just looking to catch some sleep,hotel good look catch sleep,staff,3
105,seattle-hotel-100505-review-2.json_15,If you want to soak in the hot-tub or swim in the pool at the end of a long day look for other accommodations.,want soak hot tub swim pool end long day look accommodation,service,6
106,seattle-hotel-100505-review-21.json_7,"As other reviewers have mentioned, however, street noise is a factor to be considered.",reviewer mention however street noise factor consider,service,6
107,seattle-hotel-100505-review-21.json_11,"Most importantly, if you are planning to use the wi-fi internet access, BEWARE.",importantly plan use wi fi internet access beware,service,6
108,seattle-hotel-100505-review-21.json_15,"Bottom line, if internet access is a factor, stay elsewhere.",bottom line internet access factor stay elsewhere,service,6
109,seattle-hotel-100505-review-24.json_18,This is not a hotel I can recommend for any type of group.,hotel recommend type group,staff,3
110,seattle-hotel-100505-review-26.json_8,"If this is your preference, be advised that the balconies are barely wide enough to fit a human.",preference advise balcony barely wide enough fit human,service,6
111,seattle-hotel-100505-review-26.json_11,"Smokers beware: the hotel only has a few smoking rooms, all located on the second floor.",smoker beware hotel smoking room locate second floor,quality,1
112,seattle-hotel-100505-review-26.json_46,"However, if you avoid the second floor rooms and don't mind a little construction noise,",however avoid second floor room mind little construction noise,quality,1
113,seattle-hotel-100505-review-29.json_8,Go somewhere with better service.,go somewhere well service,service,6
114,seattle-hotel-100505-review-3.json_23,"It wasn't just us, so beware, if you book at the Warwick, you will eventually get a beautiful room hopefully, but may need to deal with some not-so-nice staff to get it.",us beware book warwick eventually get beautiful room hopefully may need deal nice staff get,quality,1
115,seattle-hotel-100505-review-30.json_3,but we could never figure out how that worked (do some research before you go!!).,could never figure work research go,service,6
116,seattle-hotel-100505-review-30.json_20,but for a really great breakfast walk a block to the Mayflower Park Hotel (pricey but fabulous).,really great breakfast walk block mayflower park hotel pricey fabulous,room,5
117,seattle-hotel-100505-review-4.json_8,"I would recommend the Warwick to someone looking for a reasonable priced hotel,",would recommend warwick someone look reasonable price hotel,staff,3
118,seattle-hotel-100505-review-4.json_9,but don't expect too much.,expect much,service,6
119,seattle-hotel-100505-review-5.json_17,"Beware, if you use the Grayline for transportation, allow plenty of time, as they ran up to an hour late.",beware use grayline transportation allow plenty time run hour late,service,6
120,seattle-hotel-100505-review-7.json_7,"However, there is a good advantage to this hotel if you have a car.",however good advantage hotel car,staff,3
121,seattle-hotel-100505-review-7.json_8,You can park your car yourself and save money doing without valet service.,park car save money without valet service,room,5
122,seattle-hotel-100505-review-8.json_4,Parking was expensive and there was no elevator in the parkade so if you have any mobility problems you need to use the valet parking.,park expensive elevator parkade mobility problem need use valet parking,room,5
123,seattle-hotel-100544-review-1.json_9,Suggestions: Woodland Park Zoo (fantastic and worth the 10 minute bus drive out of downtown); Anthony's Pier 66 (excellent seafood restaurant on the waterfront) Enjoy your stay at the Moore!,suggestion woodland park zoo fantastic worth 10 minute bus drive downtown anthony pier 66 excellent seafood restaurant waterfront enjoy stay moore,room,5
124,seattle-hotel-100544-review-10.json_8,Rooms do not appear to have any functioning heating or built in fan/cooler/heaters which is a bit of a drawback depending on when you visit.,room appear function heating build fan cooler heater bite drawback depend visit,quality,1
125,seattle-hotel-100544-review-10.json_13,Travellers considering staying at the mediocre Hostelling International Seattle should seriously consider staying at the Moore instead.,traveller consider stay mediocre hostelling international seattle seriously consider stay moore instead,value,4
126,seattle-hotel-100544-review-10.json_15,and the price virtually the same if you were considering a private room at HI.,price virtually consider private room hi,quality,1
127,seattle-hotel-100544-review-13.json_16,Request a 6th or 7th floor room facing the water and you'll enjoy a view that most visitors pay through the nose for.,request 6 th 7 th floor room face water enjoy view visitor pay nose,quality,1
128,seattle-hotel-100544-review-13.json_17,"Walk to Pike Place in the morning, shopping at Pioneer Square in the afternoon, visit nearby Belltown at night.",walk pike place morning shopping pioneer square afternoon visit nearby belltown night,service,6
129,seattle-hotel-100544-review-13.json_18,Walk everywhere.,walk everywhere,service,6
130,seattle-hotel-100544-review-13.json_19,They'll hold your luggage for you either before your check-in time or after you've checked out but have a few hours to kill before catching your flight.,hold luggage either check time check hour kill catch flight,service,6
131,seattle-hotel-100544-review-13.json_20,"Visiting the convention center - it's less than 10 minutes walk, grab coffee at the French Bakery at Pike's Place before you head into convention hell.",visit convention center less 10 minute walk grab coffee french bakery pike place head convention hell,service,6
132,seattle-hotel-100544-review-13.json_22,there are two lots on either side of the hotel or try the Bon/Macy's parking lot for something a bit cheaper.,two lot either side hotel try bon macy park lot something bit cheap,room,5
133,seattle-hotel-100544-review-14.json_19,Give this place a go - just catch up on sleepbefore you do.,give place go catch sleepbefore,service,6
134,seattle-hotel-100544-review-17.json_9,so you don't have to walk if you don't want to.,walk want,service,6
135,seattle-hotel-100544-review-18.json_13,5h on  a platform to look down  Really: NOT TO DO - the bar in the Moore: rough.,5 h platform look really bar moore rough,service,6
136,seattle-hotel-100544-review-21.json_15,"My suggestion to anyone considering the Moore: If you want the low price, stay outside of DT since you will have to pay for parking anyways, or break the bank and stay at a nicer place!",suggestion anyone consider moore want low price stay outside dt since pay parking anyways break bank stay nice place,value,4
137,seattle-hotel-100544-review-24.json_3,and I've got to say that it was in desperate need of an update (and I'm not picky).,got say desperate need update picky,service,6
138,seattle-hotel-100544-review-4.json_0,Make no mistake - the Moore is pretty much a dump.,make mistake moore pretty much dump,service,6
139,seattle-hotel-100562-review-10.json_0,Be careful of the room type if you are more than one person.,careful room type one person,quality,1
140,seattle-hotel-100562-review-14.json_3,You can catch the monorail a block from the hotel if you want to visit the Seattle Center.,catch monorail block hotel want visit seattle center,room,5
141,seattle-hotel-100562-review-14.json_9,Just make sure you stay in the remodeled section.,make sure stay remodel section,service,6
142,seattle-hotel-100562-review-20.json_15,I'd suggest staying away from the in hotel restaurant.,would suggest stay away hotel restaurant,value,4
143,seattle-hotel-100562-review-20.json_19,"My suggestion would be to have a donut and coffee for breakfast, you're in Seattle after all!",suggestion would donut coffee breakfast seattle,room,5
144,seattle-hotel-100562-review-21.json_0,"Park across the street, $6 for 24hrs on weekends, $35+ at the hotel.",park across street 24 hr weekend 35 hotel,room,5
145,seattle-hotel-100562-review-23.json_15,"What respectable hotel, especially one with such expensive rooms, would have the gall to also charge lodging for their guests' cars?",respectable hotel especially one expensive room would gall also charge lodge guest car,quality,1
146,seattle-hotel-100562-review-23.json_16,"For what we paid for those rooms, they should have been courteous enough not to ream us on parking.",pay room courteous enough ream us park,room,5
147,seattle-hotel-100562-review-26.json_22,One small note -- there is a great Vietnamese restaurant around the corner called Bambuza -- don't miss it!,one small note great vietnamese restaurant around corner call bambuza miss,service,6
148,seattle-hotel-100562-review-29.json_0,Be careful with this hotel.,careful hotel,staff,3
149,seattle-hotel-100562-review-29.json_17,"Whatever you do, don't stay at this hotel.",whatever stay hotel,staff,3
150,seattle-hotel-100562-review-29.json_20,Avoid this hotel!,avoid hotel,staff,3
151,seattle-hotel-100562-review-30.json_15,"So, we would recommend this property if you are happy with 3-star hotels or lower.",would recommend property happy star hotel low,staff,3
152,seattle-hotel-100562-review-35.json_0,Absolutely don't stay at this hotel if you're driving.,absolutely stay hotel driving,staff,3
153,seattle-hotel-100562-review-40.json_15,"Food in over cooked, at least the water in cafe was drinkable, and don't be fooled by there complimentary newspaper, if you read the sticker the put on it you will see that you will be charged for it to $$$$.",food cook least water cafe drinkable fool complimentary newspaper read sticker put see charge,service,6
154,seattle-hotel-100562-review-43.json_7,and if you wanted to take a long stroll you could even walk to the tower.,wanted take long stroll could even walk tower,service,6
155,seattle-hotel-100562-review-47.json_9,Avoid the double decker Gray Line tour.,avoid double decker gray line tour,service,6
156,seattle-hotel-100562-review-7.json_7,I would definitely recommend this hotel.,would definitely recommend hotel,staff,3
157,seattle-hotel-100562-review-8.json_25,If you are flying in I would suggest not renting a car as down Seattle can get crazy  parking is expensive.,fly would suggest rent car seattle get crazy parking expensive,room,5
158,seattle-hotel-100562-review-9.json_5,Treadmills were in very bad need of repair.,treadmill bad need repair,service,6
159,seattle-hotel-100565-review-11.json_11,Would definitely recommend the hotel: we stayed a couple of nights at the W Seattle,would definitely recommend hotel stayed couple night seattle,staff,3
160,seattle-hotel-100565-review-11.json_14,One thing: definitely try to get a high floored room away from the building works for the new skyscraper next floor.,one thing definitely try get high floor room away build work new skyscraper next floor,quality,1
161,seattle-hotel-100565-review-14.json_8,"For those who are taking a cruise out of Seattle , like us, plan an extra day or two prior to your leaving and stay at the Andra (about 3 minutes form the debarkation dock) to compliment your trip.",take cruise seattle like us plan extra day two prior leave stay andra minute form debarkation dock compliment trip,room,5
162,277882:54,Highly recommend it.,highly recommend,staff,3
163,223041:120,We had a very pleasant stay and I would highly recommend anyone to stay there.,pleasant stay would highly recommend anyone stay,value,4
164,289202:55,"We will definately be returning, and recommending it to anyone we know is intending to visit Venice.",definately return recommend anyone know intend visit venice,staff,3
165,289202:55,"Almost forgot, it is even easier to find it when you arrive at Piazza Roma than the website says, and takes less than 10 minutes to walk even with a case.",almost forget even easy find arrive piazza rom website say take less 10 minute walk even case,service,6
166,192044:88,Ate dinner at Georgetown - highly recommended,ate dinner georgetown highly recommend,staff,3
167,1126079:52,"If you dont mind a 20 minute train ride to get into the city, this is the place to stay in Amsterdam.",mind 20 minute train ride get city place stay amsterdam,service,6
168,1126079:52,"Meaning, dont expect your family of four to be comfortable in one room.",mean expect family four comfortable one room,quality,1
169,301619:7,"Top tip for frequent visitors is the Okura Club International which you can join for nothing and entitles bearers to free usage of the pool, showers and o-furo ,bath, which you would normally have to pay for.",top tip frequent visitor okura club international join nothing entitle bearer free usage pool shower furo bath would normally pay,service,6
170,301619:7,"If youre heading to Tokyo, whether its business or pleasure, I definitely recommend the Okura. 70s kitsch, crap Scottish bar - its all good.",head tokyo whether business pleasure definitely recommend okura 70 kitsch crap scottish bar good,staff,3
171,81363:58,"None of them appeared to be a concierge per se and noone offered to make us dinner reservations when asked about restaurants, so expect to take care of these details on your own.",none appear concierge per se noone offer make us dinner reservation ask restaurant expect take care detail,service,6
172,81363:58,If you prefer large corporate-style hotels this may not be the place for you.,prefer large corporate style hotel may place,staff,3
173,100560:20,"I would stay here again on points of for business, but if it was my own money I might look around before booking it.",would stay point business money might look around book,value,4
174,185401:29,"We recommend visiting the excavation of the Aztec pyramids next to the national cathedral, about a five minute walk from the hotel.",recommend visit excavation aztec pyramid next national cathedral five minute walk hotel,staff,3
175,185401:29,"The driver can take you from place to place, for a reasonable price.",driver take place place reasonable price,service,6
176,185401:29,This is much safer and far more convenient than hailing taxis from the street.,much safe far convenient hail taxis street,service,6
177,305813:192,You can also use the MTR which is 4 mins from the hotel.,also use mtr minute hotel,staff,3
178,305813:192,"You can also use the star ferry, pennies, on the Kowloon side which will drop you island side adjacent to harbour city mall which is a good spot to take the classic harbour panoramic photo.",also use star ferry penny kowloon side drop island side adjacent harbour city mall good spot take classic harbour panoramic photo,service,6
179,224168:112,"It is in a great location for the Hollywood area, it is right next to a subway stop, but to get around in Los Angeles you will need a car.",great location hollywood area right next subway stop get around los angeles need car,service,6
180,224168:112,"So, be sure to tell them in advance if noise bothers you.",sure tell advance noise bother,service,6
181,254575:468,"I can recommend a Turkish restaurant in Wilton Road called Mezze ,but book in advance if you want to have dinner there as its quite busy,.",recommend turkish restaurant wilton road call mezze book advance want dinner quite busy,staff,3
182,89619:42,"So if you are checking in and they allocate room 1238, make sure you have your own mirror.",check allocate room 1238 make sure mirror,quality,1
183,100581:9,The University Inn is a very good deal that I would recommend to our friends.,university inn good deal would recommend friend,staff,3
184,100581:9,Watch out where you park in Seattle.,watch park seattle,room,5
185,228573:12,Stay elsewhere if at all possible.,stay elsewhere possible,service,6
186,87104:173,"Easy walk to the beach and the aquarium ,highly recommend.",easy walk beach aquarium highly recommend,staff,3
187,290014:112,Bus #1 from the train station is most direct but #25 and #33 will get you there also.,bus train station direct 25 33 get also,service,6
188,119658:112,I would recommend the place to anyone on a budget as you get a clean room for the money but I dont think Id stay here again.,would recommend place anyone budget get clean room money think would stay,value,4
189,542696:0,Be careful snorkeling at Red Beach.,careful snorkel red beach,service,6
190,542696:0,I would not suggest doing this without fins unless you are VERY strong swimmer and even take caution with fins if you are a strong swimmer.,would suggest without fin unless strong swimmer even take caution fin strong swimmer,service,6
191,542696:0,"Note that if you plan to rent a car, many rental places have minimum 3 day rentals during high season.",note plan rent car many rental place minimum day rental high season,service,6
